model_name,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
aya-expanse:8b,费恩和查蒂明天2点去象堡，他们会在正门碰头。,芬恩提议明天去象与城堡（Elephant and Castle）这个社区，那里充满了拉丁美洲风情的小店和餐厅。扎迪对这个计划很感兴趣，因为她很久没有吃过拉丁美洲美食了。他们计划在下午两点在购物中心的主入口见面，探索这个即将被拆迁的社区。扎迪表示会及时联系芬恩，如果迷路了。,13.95,2.38,9.3,62.96
aya-expanse:8b,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,汤姆告诉本：2点在椭圆房间见，带上所有文件，这将是一场战斗！记住，无情地战斗，不留活口。本笑着回应，他们一定能赢，正义在他们这一边。,22.95,0.0,16.39,63.31
aya-expanse:8b,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,埃利奥特现在很忙，无法接听电话，提议两小时后再打电话。乔丹正在去参加同事布拉德的葬礼，晚上八点会打电话给埃利奥特。埃利奥特表示了慰问，并承诺在晚上八点打电话。布拉德因肝癌去世，乔丹之前已经提到过这个情况。,49.44,27.59,35.96,78.89
aya-expanse:8b,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,"Flo：天啊，我要到第六天才能去美发沙龙！
Gina：什么？为什么？
Flo：他们太忙了。我快要变灰白头发了！哈哈！
Gina：那你去超市买个染发套装吧！
Flo：没办法了！",12.99,0.0,12.99,63.3
aya-expanse:8b,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,杰克西认为大卫昨天说得对，关于承担责任等问题。大卫回应他记得了，约定稍后再谈，杰克西下班后会打电话给大卫。,40.0,0.0,26.67,71.7
aya-expanse:8b,阿黛尔放学后得打扫仓鼠笼。,皮特问阿德尔是否清洁了仓鼠笼。阿德尔回答没有，并询问是不是轮到她了。皮特说是在学校后，没有借口。阿德尔无奈地同意了。,14.63,5.13,9.76,67.41
aya-expanse:8b,玛雅会在药房为伦道夫买5包耳塞。,兰道夫问玛雅还在药店吗，并请求她买4到5包耳塞。玛雅回答会买5包。兰道夫感谢她。,36.84,16.67,31.58,75.21
aya-expanse:8b,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,法蒂玛告诉林肯，她和杰森谈过，杰森对某个地方不太满意。林肯认为那地方没什么问题，但关心的是阿莱恩的情况。法蒂玛认为阿莱恩可能患有抑郁症，但她拒绝就医。林肯认为这不是法蒂玛的责任，并建议她为可能的分手做好准备。法蒂玛觉得阿莱恩只是有点困扰，因为她经历了很多。林肯直言不讳地说每个人都有问题，关键是自己是否在解决它们。法蒂玛感到伤心，但意识到自己的成长环境比阿莱恩好得多，决定感激当下。林肯鼓励她不要过多担忧他人，并赞美她的美丽。,13.33,2.7,12.0,67.63
aya-expanse:8b,米科和杰夫要去参加村里的聚会，杰夫开车。,杰夫和利亚因为刚从徒步旅行回来，都感到很累，所以没有兴趣去村庄派对。米科则表示想去，因为可能有帅气的男孩。吉姆开玩笑说，村里的男孩可能不讲英语，更愚蠢。米科同意了。利亚仍然不感兴趣，而杰夫虽然不热情，但也同意一起去。米科问谁要一起开车，以便他可以喝酒，杰夫表示无所谓。,21.05,4.3,14.74,66.72
aya-expanse:8b,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,哈利急切地要求辛迪给埃拉打电话，说有紧急事情要讨论。辛迪抱怨说，他们总是让她充当传话筒，但这次之后不会再这样做了。她已经完成任务，哈利现在可以给埃拉打电话了。,20.59,6.06,17.65,69.22
aya-expanse:8b,肯恩正试图捉弄格雷格。,肯对格雷格说：“你这个卖淫的，给我退钱。” 格雷格怀疑是账号被黑客攻击，但肯解释说他是开玩笑。格雷格也回击了同样的侮辱。,5.26,0.0,5.26,62.29
aya-expanse:8b,西蒙五分钟后会和阿德里安谈一谈。,"阿德里安：你能接电话吗？
西蒙：不方便，有什么重要的事吗？
阿德里安：不是很重要。
西蒙：我五点左右可以空出时间。
阿德里安：那我等你。",8.51,0.0,8.51,60.9
aya-expanse:8b,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,加布表示现在可以随意发消息，并询问何时能见面喝酒。凯特很忙，不确定何时有空。加布希望在现实中见到她，但凯特拒绝了，称自己不是这样的人。加布试图解释他们的交流方式不同，但凯特认为这是个错误。加布确认凯特是否离线，但凯特没有回应。,21.28,0.0,14.89,68.23
aya-expanse:8b,阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,"阿加莎：我的演讲准备好了！
亚当：太棒了，是什么主题？
阿加莎：经济学。
亚当：听起来有意思吗？
阿加莎：当然，我使用了最新的研究数据。
亚当：看来你很了解这个领域呢！
阿加莎：我对经济学非常感兴趣。",20.78,2.67,20.78,66.69
aya-expanse:8b,凯恩向香农推荐30秒上火星乐队的新专辑。,凯恩问沙农是否听过30秒至火星的新专辑，沙农表示没有。凯恩推荐她听，沙农表示会去听的。,37.84,11.43,32.43,74.83
aya-expanse:8b,米兰达昨天打电话给汤姆，很甜蜜地和他讲话。安妮很生她的气，因为她正在和汤姆约会。,安妮讨厌那个“恶女”！凯瑟琳和诺拉都好奇她又做什么了。凯瑟琳指的是在镜达。大家都对她很反感。昨天，镜达打电话给汤姆，表现得非常甜蜜，这让安妮怀疑她想夺走汤姆。凯瑟琳不认为镜达有这个可能，因为她觉得镜达不是汤姆的类型。,34.41,10.99,27.96,71.7
aya-expanse:8b,莉莉和托马斯度过了一个美好的夜晚。托马斯是罗马尼亚人，来自一个非常富有的家庭。,莉莉和凯特聊天，莉莉说她和一位叫托马斯的人度过了一夜，他是一个罗马尼亚富家子，正在伦敦的LSE学习。莉莉惊讶于他并不像预期的那么平淡无奇，相反，他在各个方面都给她带来了极大的享受，让她头痛不已。凯特很高兴听到这个消息，认为莉莉值得拥有一些乐趣，因为最近几周她经历了很多压力。,25.0,3.92,19.23,68.15
aya-expanse:8b,杰克预定了三张明天晚上七点的票。他能享受七折优惠。,鲍勃问梅兰妮是否预订了明天的票。梅兰妮说杰克承诺会做这件事，而且他有工作场所折扣。鲍勃再次确认杰克是否在场并预订了票。杰克回答已经预订了三张明天晚上七点的票，并且享受了30%的折扣。,30.56,20.0,27.78,75.67
aya-expanse:8b,彼得最近一直在他们办公室附近的健身房锻炼以改善健康状况。为了更健康，丽莎正在考虑锻炼和更加合理饮食。,丽莎问彼得最近过得怎么样。彼得说工作很忙。丽莎认为他可能在为健康而努力，而不是减肥。彼得解释他想通过锻炼改善健康状况，并不需要减重。他们讨论了锻炼和饮食对保持健康的重要性，并同意长期坚持健康习惯非常重要。,35.29,12.05,25.88,70.35
aya-expanse:8b,杰西卡在市中心的二手商店买了一张桌子、六把椅子、一个花瓶和一堆衣服。这些一共花了70欧元。,杰西卡去城里二手店买了很多东西，包括一张橡木桌、六把椅子、一个花瓶和一堆衣服。她发了照片给拉斐尔和弗兰克，他们都非常喜欢那张桌子，尤其是拉斐尔对黑色的连衣裙赞不绝口。杰西卡对自己的购买感到非常满意，更令人高兴的是，她只花了70欧元就买了所有这些东西！,41.58,28.28,35.64,75.91
aya-expanse:8b,卢西恩不在家。德西蕾希望卢西恩把她的意大利面放在微波炉里。,Desiree 问 Lucian 两人是否在家，Lucian 表示刚收到消息，没有特别原因。Desiree 要求将面条放在微波炉里加热。Lucian 回答自己还没做饭。,18.87,11.76,18.87,70.16
aya-expanse:8b,艾米丽、凯特和玛塔今天要去中央车站的x酒吧喝一杯。,艾米丽提议今天下班后一起喝点东西，凯特和玛塔都同意了。他们计划在中央车站的X酒吧约定时间5：30见面，但凯特可能要晚一点到达，因为交通状况。玛塔表示没问题，并祝大家再见。,38.1,22.95,31.75,73.57
aya-expanse:8b,今天玛丽没有去上学，她就待在家里。,"玛丽：嗨，我的朋友😘
爱丽丝：你今天不是去学校吗？
玛丽：不，我今天待在家里。
爱丽丝：幸运你！",25.64,0.0,20.51,70.82
aya-expanse:8b,克莉丝汀病了，明天不来上学了。安妮会把西拉夫的香囊放在邮箱里。克莉丝汀不想把病传染给她。,安妮询问克里斯汀是否会去学校。克里斯汀表示明天不会去，因为她感觉不舒服，可能得了流感。安妮关心她的体温和饮食情况，克里斯汀回答没有发烧，只是鼻塞、喉咙痛和疲劳。安妮建议她吃特拉弗（Theraflu），并表示会后来送一些给她。克里斯汀感谢安妮的帮助，但担心自己可能会传染给安妮，让安妮不要打电话。安妮开玩笑说自己可能已经感冒了，但如果克里斯汀醒着，可以随时打电话。,19.55,3.05,15.04,67.5
aya-expanse:8b,沙尔多纳通过手机发送了婚礼邀请，因为她没有时间亲自去送邀请函。,沙隆达宣布她要结婚，并发送了一张通过消息应用程序的婚礼邀请。皮珀感到惊讶，因为他们多年没有联系，而现在沙隆达才发来邀请。皮珀认为沙隆达太贪婪，期望别人参加她的婚礼，却没有时间亲自送邀请。,34.29,17.65,31.43,73.55
aya-expanse:8b,康拉德忘了带钥匙，所以回不了家。瑞贝卡和蒂芙妮回来得晚，他得在咖啡厅等。,康拉德在房子外面，忘记带钥匙。雷贝卡和蒂芬尼有消息，蒂芬尼将于晚上10点到11点回家，而雷贝卡会更晚回来。康拉德决定在咖啡店等候。,32.79,10.17,29.51,78.61
aya-expanse:8b,卢德米拉小时候最喜欢的恐龙是三角龙。,"雅各波：嗨，你小时候有喜欢的恐龙吗？
柳米拉：有啊，三角龙。为什么？
雅各波：我后来告诉你原因。",33.33,15.0,28.57,70.39
aya-expanse:8b,在玛丽亚和妮可的建议下，克莱尔正在订购她的婚纱。,克莱尔分享了一件礼服（文件链接），玛丽亚和妮可都认为这件礼服非常适合新娘，价格也合理。克莱尔虽然觉得颜色有点暗，但最终被说服了，决定下单。,19.23,12.0,19.23,68.19
aya-expanse:8b,米罗和他的父母说阿尔巴尼亚语。他的家人在20世纪90年代非法出境离开了阿尔巴尼亚。,阿比（Abby）讲述了她昨天在派对上认识的米罗（Miro）的故事。米罗的父亲来自1990年代初的阿尔巴尼亚，他们非法离开了该国，逃离了极端贫困和动荡。米罗只会说阿尔巴尼亚语，并分享了他父亲通过不合法途径出国的经历，包括人们挤上任何可用的船只逃离该国的场景。,30.11,6.59,17.2,72.25
aya-expanse:8b,丹、蒂姆、克里斯和马丁8点碰面。丹和马丁这次会放松一下。汤姆来不了，因为他岳父岳母家有个聚会。,丹问大家周六是否一起出去。蒂姆和克里斯都同意，但汤姆因要去女家参加派对而无法参加。克里斯和马丁也表示自己可能需要跟着放松。蒂姆调侃道大家像60岁的人。,29.73,11.11,21.62,67.49
aya-expanse:8b,迪玛的笔记本电脑坏了，因为她的猫把咖啡洒在笔记本电脑上。 迪玛很担心，因为她明天必须为trados提供翻译。一个小时后迪玛会来纳达家，借纳达的笔记本电脑。,迪玛的笔记本电脑坏了，明天需要交翻译，但 Nada 的旧笔记本电脑已经借给了她哥哥。 尽管如此，Nada 还是同意让迪玛使用她的笔记本电脑，因为她这两天都请假了。 迪玛表示非常感激，并承认他们应该为翻译工作准备备用笔记本电脑。 她想在一小时内来取笔记本电脑。,42.99,20.95,33.64,76.77
aya-expanse:8b,杰瑞40分钟后到家。,杰里（Jerry）给珍妮特（Janet）发了个甜蜜的问候。珍妮特回应说期待他的归来。杰里表示大约40分钟后到家，珍妮特说她会等他。杰里询问了珍妮特的日常，珍妮特抱怨了下老板的烦人之处。他们互道再见，表达了爱意。,14.29,11.76,14.29,66.82
aya-expanse:8b,娜塔莉怀了戴夫的孩子。简认为萨莉不应该告诉别人，因为娜塔莉是私下告诉他们的。亨利埃特和格雷格很惊讶，孩子的父亲居然是戴夫而不是迈克。,莎莉向大家传闻娜塔莉的消息。尽管简不愿意分享，但其他人都感到好奇。当他们知道了消息时，大家惊讶地发现孩子的父亲是戴夫，而不是他们猜测的迈克。,44.44,10.13,37.04,74.1
aya-expanse:8b,丽莎还没回家，黛西想要她晚上11点前回来。,黛西问丽莎是否要回家，丽莎回答还不算。黛西请求丽莎在11点前回来。丽莎同意了。,47.06,25.0,41.18,79.48
aya-expanse:8b,辛迪很伤心，但不愿意说出原因。艾莉还没看那个疯传的搞笑视频。,Cindy 发了个 GIF 和视频给 Ellie，表示自己很伤心，不想谈论原因。 Ellie 鼓励 Cindy 乐观起来，并指出那段视频在网上很火，很有趣。,20.0,10.34,20.0,71.2
aya-expanse:8b,本不会和凯瑟琳一起去看望史蒂夫叔叔。他会去看望凯瑟琳和孩子们。,凯瑟琳邀请本去看望他们家族中的叔叔史蒂夫，但本表示自己不喜欢这种拜访，觉得会让他感到压力。凯瑟琳试图说服他，说孩子们想见他，但本认为他们可以等他有空时再见面，无需特地前往另一个城市。凯瑟琳提到史蒂夫会失望，但本坚持认为史蒂夫可能不会太在意，因为他们没有共同话题，而且史蒂夫总是问他的私生活问题让他感到烦恼。尽管如此，凯瑟琳还是鼓励本去看望孩子们。本同意了，表示会尽快找到时间去看他们。,19.2,1.63,11.2,66.95
aya-expanse:8b,史蒂夫很高兴他装了一台新的洗碗机。,史蒂夫告诉妈妈，洗碗机已经安装好了，并且做得很好。他发了一张照片给妈妈，显示洗碗机的样子。妈妈问它是12个餐盘的，史蒂夫说虽然他通常没有那么多客人，但这并不意味着每天都需要用到它，每隔一天就够了。妈妈很高兴史蒂夫对洗碗机满意。,15.19,2.6,12.66,68.67
aya-expanse:8b,茱莉亚上周去了考文特花园附近的kohaku咖啡馆，但现在这家店关门了，这让她和亨利大吃一惊。她联系了店主，但还没收到回复。亨利和他的表妹最后去了莉莉家，但那里的气氛不一样。,亨利想预订科哈库咖啡馆的桌子，但找不到任何信息，连其Facebook页面也消失了。朱莉娅证实咖啡馆已经关门，可能是因为租金过高。亨利和朱莉娅都对这家位于 Covent Garden 附近的咖啡馆很失望，并讨论了其他替代选择。,31.19,9.35,20.18,68.78
aya-expanse:8b,卡米拉和汤姆这个周末要去都柏林。,汤姆问卡米拉是否去过都柏林，卡米拉表示从未去过爱尔兰。汤姆提议周末去都柏林，持续两天，因为天气预报很好。卡米拉赞同汤姆的疯狂想法，并表示支持。汤姆说他会买票。,19.61,4.08,19.61,71.68
aya-expanse:8b,杰森今天约了牙医，所以他没来。,梅根问纳森是否收到杰森的消息，因为杰森今天缺课。纳森解释说杰森有牙医预约。梅根感谢他的信息。,29.41,6.25,29.41,72.95
aya-expanse:8b,到目前为止，吉尔做了20或30次，每天3-4次，35或40小时，所以和艾丽一样。,"艾利：到目前为止你做了多少？
吉尔：大概20到30个。
吉尔：我每天最多只能做3到4个。
艾利：每天几小时？
吉尔：可能40个小时，或者35个小时……
艾利：好吧，我也是这样。",43.9,12.5,34.15,72.11
aya-expanse:8b,詹姆斯和米娅明天想去看艺术展。詹姆斯想让阿米莉亚和他们一起去，但米娅不确定阿米莉亚去不去。之后詹姆斯和米娅会去他家。,詹姆斯告诉米娅，他们的哲学讲师正在举办一场艺术展览，明天开幕。米娅对这个消息感到惊讶，但表示也想去看看。詹姆斯提议他们一起去，并邀请阿美利亚一起参加。米娅有些犹豫，因为她不了解阿美利亚，但詹姆斯安抚她，保证阿美利亚很随和。他们计划明天同时去展览和电影院，之后到詹姆斯家聚会。米娅表示同意，两人确认没有问题。,32.79,11.67,27.87,75.0
aya-expanse:8b,彩英和亚瑟通知玛丽安娜，史蒂芬研讨会下一次要用的阅读资料周一在印刷店拿不到。丽塔决定明天去看看，如果情况有变，她会让所有人都知道的。,玛丽安娜询问斯蒂芬的研讨会下一次会议的阅读材料是否在打印店。丽塔和查英没有确切信息，亚瑟确认周一材料未到位且工作人员态度恶劣。丽塔将于第二天早上前往并告知大家材料是否准备就绪，她会请求加印更多。亚瑟和查英表示不介意。,41.24,14.74,30.93,72.76
aya-expanse:8b,有人在校园里遭到殴打和抢劫，不得不住院治疗。袭击者戴着面具。官方声明会和新闻报道一起发出。杜鲁门和罗德尼都认为尽管周围有摄像头，但校园安保不达标。,有个人在校园被打和抢，正在医院恢复。攻击者戴着面具，警方将发布官方声明并发表报纸文章。大家猜测攻击者可能是学生，甚至可能只是为了好玩。尽管校园有监控摄像头，但安全卫士效率不高。希望犯罪分子能尽快被捕。,35.79,12.9,33.68,75.76
aya-expanse:8b,哈维尔最初很想在warsaw ink纹身，但价格太高了。他决定去哥伦比亚做纹身。,Javier 问 Judie 是否知道当地有没有英语服务的老板纹身店。Judie 推荐了“Warsaw Ink”，并展示了他女朋友在那里纹身的照片。Javier 很喜欢，但考虑到价格是1000，决定还是回哥伦比亚纹身。,40.0,10.96,29.33,71.1
aya-expanse:8b,托马斯住的地方晚上的温度是零下3摄氏度。早晨有霜。佐伊在热带。托马斯星期天在贝尔钦峰附近散步。,Zoe 发了一张冷天鼓励的GIF给朋友们，并询问他们的健康状况。Thomas回复说他们在热带地区，晚上温度降至-3度，早上有白霜。他们周末在冰风中爬上了Belchen山顶，享受了阳光明媚和意外的晒黑。Zoe表示很漂亮，但希望暂时避开这样的天气。他们约定很快联系。,18.56,0.0,14.43,67.13
aya-expanse:8b,詹姆斯通知说下一届aseees会议将在旧金山举行。克洛伊希望去夏威夷，詹姆斯认为不会去夏威夷举办会议，因为交通费用太高昂了。,艾米丽问下一次ASEEES会议将在哪里举行。乔伊表示不知道，但这是一个好问题。詹姆斯听说过在加利福尼亚，具体是旧金山。乔伊希望会议能去夏威夷，但詹姆斯认为由于1993年最后一次在那里举行的会议因交通费用高而受到批评，未来可能不会太快实现。,41.67,19.15,33.33,78.47
aya-expanse:8b,罗伯想开始每天做30分钟的体育运动。格雷格已经做了60分钟。安娜想像罗伯一样开始锻炼。,罗布发起“离沙发挑战”，计划每天进行30分钟的运动。格雷格支持他，建议至少60分钟。威尔鼓励罗布保持现实，不要太苛刻。安娜也加入挑战，表示30分钟的运动是合理的。格雷格建议选择自己喜欢的运动，如步行、骑行或游泳等。安娜表示需要大家的支持。,21.74,13.33,21.74,69.78
aya-expanse:8b,沃克和布克计划整晚玩游戏。沃克会把布克想要的xbox游戏机带来。,布克尔提醒沃克带上Xbox游戏机。沃克认为布克尔不喜欢这款游戏机，但提到它的握持感很棒。布克尔笑着同意了。沃克决定也带一个。他们计划通宵玩游戏。,24.14,3.57,10.34,74.82
aya-expanse:8b,马里奥正在卢森堡的机场候机。,马里奥今天飞遍了欧洲所有机场，感到非常疲惫。他目前在卢森堡等待。埃迪鼓励他享受旅程。莫说这是因为马里奥喜欢飞行。天气良好，否则他可能不得不乘坐火车旅行。莫提醒马里奥注意安全。马里奥也向莫表示感谢。,10.34,0.0,6.9,66.63
aya-expanse:8b,约翰不确定今天是否有训练，但马特说有。,约翰问今天有没有练习，马特回答说应该有。约翰高兴地表示感谢并约定在练习时见，马特回复了“见”。,30.77,0.0,30.77,74.03
aya-expanse:8b,马丁完成计划后将给亚历克斯买两瓶牛奶。,亚历克斯请马丁买牛奶，马丁刚买了两天前。亚历克斯说最近想喝牛奶。马丁表示因为要完成项目，两小时后会给她买。亚历克斯称他为英雄。,25.53,0.0,17.02,73.81
aya-expanse:8b,布莱尔和恰克下班后要去诺娜·丽塔餐厅见婚礼策划人。诺娜·丽塔餐厅供应的意大利面条非常好。,布莱尔和查克计划在下班后见婚礼策划师，地点在非娜丽塔餐厅。查克想点这里的海鲜意面，但他们也记得上次见黛安时那场令人难忘的番茄酱灾难，两人不禁发笑。,29.03,3.33,25.81,72.83
aya-expanse:8b,科尔和路易斯坐在同一个房间里，却在发短信。,"科尔：嘿，室友（笑）
路易斯：我们可是在同一间房间啊！
科尔：哈哈，有趣。
路易斯：唉，不要来要我的枕头了。
科尔：来，说说吧。
路易斯：不，我不会通过短信和你这种人说话——他正坐在我旁边几英寸远。
科尔：（笑）",17.28,0.0,9.88,66.62
aya-expanse:8b,切尔西今天下午赢了哈德斯菲尔德的一场比赛。伊瓜因两度得分。达米安很高兴，他希望这将是切尔西的转折点。,达米安告诉雅各布和梅森，切尔西队比赛中的希瓜因两度得分让他非常高兴。尽管对手是排名靠后的胡德尼特队，但这终于是一次积极的转变。雅各布认为这可能不是转折点，而梅森则表示胡德尼特队水平很低。达米安仍保持乐观，希望这能成为球队的转机。,34.04,6.52,21.28,73.06
aya-expanse:8b,玛伦半小时后就要去镇上了。她将给丽塔买一件礼物——凯泽的带黄色花纹的丝巾。它的售价为39，巴利和玛伦一人出一半钱。,马伦恩即将去城镇，建议巴里为丽塔挑选礼物。巴里没有想法，马伦恩在凯瑟商店看到了丝绸围巾，并发了照片给巴里。巴里建议选择带有黄色图案的围巾，因为丽塔喜欢黄色。马伦恩表示那是五件中最贵的一件，价格为39欧。巴里觉得不贵，同意以50/50的价格购买。,26.17,3.81,20.56,69.76
aya-expanse:8b,布鲁克要盖尔过来看看昨天发生了什么。,昨天发生了点事，布鲁克让盖尔回来看看。盖尔问情况严重吗？布鲁克建议他回家。盖尔说马上就到。,34.29,12.12,17.14,75.74
aya-expanse:8b,凯特、米丽娜和里贾娜的演讲进行得很顺利，三个人来听他们的演讲。,"米莱娜：演讲怎么样？
凯特：很好。
雷吉娜：是的，我们收到了积极的反馈。
米莱娜：你有多少人来听你的演讲？
雷吉娜：三个人，但我们知道会是一个温馨、友好的氛围。
米莱娜：有时候一个小但热情的观众比无聊的人群要好。
凯特：完全同意。",24.18,8.99,17.58,65.41
aya-expanse:8b,杰克今年拿到了第一个totw ，汤姆的团队并不出色。,杰克刚抽中了本年的首张“TOTW”卡。他计划在尝试过几场比赛后出售，因为该球员不适合他的阵容。汤姆表示今年运气不佳，没有抽到优秀球员。杰克安慰他说，作为游戏高手，他不需要帮助。,22.86,5.88,17.14,69.44
aya-expanse:8b,凯斯送给外孙乔丹20英镑和一张生日卡，作为他11岁生日的礼物。,"卡丝：亲爱的，你生日卡片和钱收到了吗？

乔丹：嗨，奶奶！谢谢20英镑。对不起，我没提前打电话给你。

卡丝：你还是喜欢托马斯小火车吧？我特意挑的。

乔丹：是的，奶奶。我永远爱他！下次，给我买一个足球主题的吧？我现在11岁了！

卡丝：我知道，你长得很快。爱你！

乔丹：爱你，奶奶！",17.86,3.64,12.5,59.77
aya-expanse:8b,对杰西卡来说，最恐怖的地方是巴勒莫的僧帽猴地下墓穴。,凯利想先回答问题。杰西卡分享了她在意大利巴勒莫的经历，提到那里有著名的卡普奇尼地下墓穴，里面有8000具尸体。她描述道，这些尸体被展示在像博物馆展品一样，大部分穿着衣服，只有头骨和手。米基和奥利对这个故事感到兴奋，决定记下来。,20.0,5.13,12.5,64.78
aya-expanse:8b,西蒙和查理钦佩波兰的反移民政策和捍卫自身价值观和利益的方式。,"西蒙和查理讨论了欧盟的移民政策对欧洲各国安全的影响。他们分析了德国、比利时和巴黎在节日期间采取的安全措施，同时强调波兰作为最后一个未受到无控制移民和恐怖主义影响的国家的独特地位。

西蒙认为波兰有机会在经济上落后几十年，但也可以避免其他西方国家犯下的错误，快速发展。他赞扬波兰人民捍卫价值观和利益的意志，并预测未来波兰可能成为欧洲内部解决问题的主要力量。

查理则担忧波兰内部冲突的风险，但两人都希望波兰能度过难关，享受一个安宁的圣诞节。",19.26,9.02,17.78,68.29
