model,raw_model_name,sample_index,generated_summary_zh,reference_summary_zh,generated_tokens,gold_tokens,token_diff,token_ratio,source_file,source_group
Gemma,gemma4:e4b,3,玛丽向卡特借钱，卡特说一小时后在火车站给。,玛丽的钱用完了，卡特打算一小时后借给她一点。,19,20,-1,0.95,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,3,玛丽因手头拮据向卡特借钱，卡特表示一小时后在火车站取钱给她。,玛丽的钱用完了，卡特打算一小时后借给她一点。,28,20,8,1.4,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,4,杰克提议后来喝鸡尾酒，梅激动地回应“是！”她表示自己确实很紧张。杰克猜测了，梅叹了口气，承认确实有点紧张。她认为喝点酒会好一些，杰克建议可能要两杯。,杰克和梅一会儿要喝鸡尾酒。,64,12,52,5.333333333333333,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,4,杰克问玛雅稍后要不要喝鸡尾酒，玛雅非常兴奋地同意了。当杰克开玩笑说她今天有点紧张时，玛雅承认了这一点，并表示喝酒会有帮助，最后两人约定可以喝两杯。,杰克和梅一会儿要喝鸡尾酒。,67,12,55,5.583333333333333,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,4,杰克提议稍后喝鸡尾酒，迈伊非常赞同并感叹他读懂了自己的心思。当杰克询问她今天是否有些紧张时，迈伊承认确实如此，于是两人决定各喝一杯甚至两杯来缓解情绪。,杰克和梅一会儿要喝鸡尾酒。,70,12,58,5.833333333333333,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,5,约瑟夫发了一张模糊的照片，上面是两头小牛。艾拉看了之后兴奋地猜测是小牛，并表达了想要触摸它们的愿望。约瑟夫确认照片中的牛是他的表兄扬的牛，并纠正了艾拉的“双胞胎”为“一对”。艾拉对拥有两头牛感到高兴，并表达了对它们的好奇心。,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,100,30,70,3.3333333333333335,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,5,约瑟夫发了照片，艾拉认出是小奶牛；约瑟夫说那是“Wujek Janek”的双胞胎奶牛，艾拉纠正为“Twins”，并对这些小奶牛表示喜爱和想触摸的愿望。,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,53,30,23,1.7666666666666666,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,5,约瑟夫分享了一张模糊的照片，显示 Wujek Janek 家的小牛犊。艾拉认出它们是双胞胎小牛并为此感到兴奋和喜爱，还表达了想摸摸它们的愿望。,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,56,30,26,1.8666666666666667,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,6,阿黛尔告诉洛拉她养了一只新的狗，是一只4个月大的小黄狗，名叫骨头（Bones）。其他宠物对新成员反应平静，猫保持距离，而波皮和露露似乎像母亲一样照顾它。斯皮迪想和他一起玩耍。阿黛尔提到幼犬通常比成年狗更容易被其他动物接受。洛拉开玩笑说女狗喜欢打架，但阿黛尔也同意这一点。他们决定给新狗取名骨头，因为它很胖。洛拉期待着见到这只可爱的狗。,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,148,67,81,2.208955223880597,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,6,阿黛尔和洛拉聊起阿黛尔新养了一只四个月大的比斯吉犬幼犬，名叫Bones。她们谈到其他宠物对小狗的反应，提到猫咪保持距离，但Poppy和Lulu似乎像母狗一样照顾它，而Speedy则想玩耍。阿黛尔分享了她之前收养的成年狗狗需要断奶，并且指出了公狗和母狗都比较爱打架的特点。洛拉对小狗感到可爱并期待看到它。,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,126,67,59,1.8805970149253732,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,6,阿黛尔向罗拉介绍她刚领养的四个月大的拉布拉多幼犬“骨头”，性格活泼爱啃咬。家里的猫们保持距离，而两只母狗波皮和露露则像母亲一样照顾它，快嘴也愿意陪它玩，大家相处融洽没有打斗。两人讨论说雌性幼犬更容易被其他动物接纳，不像成年公狗那样需要隔离或容易好斗。阿黛尔觉得“骨头”很胖也很可爱，罗拉表示迫不及待想见到这位新成员。,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,144,67,77,2.1492537313432836,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,7,劳拉问明天去哪里，林达建议意大利餐厅。劳拉同意了。林达说她喜欢那里的面条和布朗尼，尽管她平时不吃甜食。,琳达和劳拉明天要去一家意大利餐馆。,46,16,30,2.875,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,7,两人讨论了第二天的去处，最终决定去一家意大利餐厅，琳达特别提到了那里的意面和布朗尼。劳拉提醒她以前不吃甜食，但琳达解释说这个布朗尼不太甜。,琳达和劳拉明天要去一家意大利餐馆。,64,16,48,4.0,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,7,劳拉询问明天去哪里，琳达提议去一家意大利餐厅。虽然劳拉记得琳达不吃甜食，但琳达表示那里的意面很棒且布朗尼并不甜，因此同意了她的建议。,琳达和劳拉明天要去一家意大利餐馆。,61,16,45,3.8125,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,8,"米亚：亲爱的，我今晚下班后可以出去吗？
埃利奥特：当然可以，去吧！😊
米亚：谢谢你，亲爱的。我们要度过一个女孩子们的外出夜晚。
埃利奥特：你们在做什么呢？
米亚：好吧，我们会去喝点饮料，享受一下工作之外的时光。
埃利奥特：请不要太晚回家，如果需要我来接你，就给我打电话。",米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,109,31,78,3.5161290322580645,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,8,米娅向男友征得同意晚上下班后和朋友们出去聚会喝酒，男友同意了，并叮嘱她不要太晚回来，如果需要接送就打电话告诉他。,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,52,31,21,1.6774193548387097,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,8,米娅下班后想出去参加女生聚会，埃利奥特表示同意并提醒她别太晚，如果需要接人随时打电话。,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,40,31,9,1.2903225806451613,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,9,"瑞安：我感觉不对劲，看了这个文件（<file_other>）。
塞巴斯蒂安：乌克兰... 这个俄罗斯的闹剧永远不会结束...
瑞安：希望各国领导人能对这种情况做出反应。
塞巴斯蒂安：我也希望如此...",瑞安和塞巴斯蒂安担心乌克兰的政治局势。,67,18,49,3.7222222222222223,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,9,两人对乌克兰局势和俄方行为感到担忧，并希望各国领导人能采取行动。,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,30,18,12,1.6666666666666667,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,9,瑞安对局势感到不安，认为俄罗斯的闹剧永无止境，并希望各国领导人能对此做出反应。塞巴斯蒂安表示赞同并表达了同样的担忧。,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,54,18,36,3.0,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,10,芬恩提议明天去象与城堡（Elephant and Castle）这个社区，那里充满了拉丁美洲风情的小店和餐厅。扎迪对这个计划很感兴趣，因为她很久没有吃过拉丁美洲美食了。他们计划在下午两点在购物中心的主入口见面，探索这个即将被拆迁的社区。扎迪表示会及时联系芬恩，如果迷路了。,费恩和查蒂明天2点去象堡，他们会在正门碰头。,110,20,90,5.5,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,10,芬恩提议第二天和扎迪一起去一个据说有很多拉丁美洲风情的小区“大象与城堡”，扎迪同意了，并建议下午两点左右见面。他们约定在购物中心的入口处会合。,费恩和查蒂明天2点去象堡，他们会在正门碰头。,65,20,45,3.25,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,10,芬恩邀请扎迪第二天去即将被拆除的象与城堡街区品尝拉丁美洲美食，两人约定下午两点在购物中心主入口见面。尽管计划细节模糊且充满幽默调侃，但扎迪欣然答应并感谢芬恩记得她的喜好，最终愉快地确认了行程。,费恩和查蒂明天2点去象堡，他们会在正门碰头。,91,20,71,4.55,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,11,汤姆告诉本：2点在椭圆房间见，带上所有文件，这将是一场战斗！记住，无情地战斗，不留活口。本笑着回应，他们一定能赢，正义在他们这一边。,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,56,30,26,1.8666666666666667,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,11,汤告诉本，下午两点在椭圆形房间会面，并提醒他带好所有文件，准备一场激烈的战斗，要不留情面，射杀敌人。两人都表示必须赢得这场战役，因为正义站在他们这一边。,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,68,30,38,2.2666666666666666,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,11,汤姆和班决定下午两点在椭圆室见面，并警告对方带上所有文件准备一场激烈较量。两人以幽默的口吻表示必须赢得这场战斗，因为正义站在他们这边。,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,63,30,33,2.1,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,12,埃利奥特现在很忙，无法接听电话，提议两小时后再打电话。乔丹正在去参加同事布拉德的葬礼，晚上八点会打电话给埃利奥特。埃利奥特表示了慰问，并承诺在晚上八点打电话。布拉德因肝癌去世，乔丹之前已经提到过这个情况。,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,93,48,45,1.9375,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,12,艾略特因忙碌无法通话，提议两小时后再回电。乔丹告知正在参加同事布拉德的葬礼（他患了肝癌），并表示今晚会回电。两人互相慰问，最终约定艾略特晚上八点致电。,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,67,48,19,1.3958333333333333,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,12,埃利奥特因忙碌无法通话，询问能否两小时后回电。乔丹表示将参加同事布拉德的葬礼（其患有肝癌），并约定今晚再联系。得知消息后，埃利奥特表达了哀悼与关心，并确认晚上 8 点致电。,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,75,48,27,1.5625,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,13,"Flo：天啊，我要到第六天才能去美发沙龙！
Gina：什么？为什么？
Flo：他们太忙了。我快要变灰白头发了！哈哈！
Gina：那你去超市买个染发套装吧！
Flo：没办法了！",弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,57,41,16,1.3902439024390243,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,13,弗洛的沙龙要到六号才能去，因为太忙了。吉娜建议她去Tesco买个补色套装。,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,30,41,-11,0.7317073170731707,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,13,弗洛因沙龙预约已满直到 6 号才能染发，担心变白发愁；吉娜建议她去特易购买补染套装，弗洛只好答应。,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,43,41,2,1.048780487804878,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,14,杰克西认为大卫昨天说得对，关于承担责任等问题。大卫回应他记得了，约定稍后再谈，杰克西下班后会打电话给大卫。,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,48,25,23,1.92,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,14,杰基承认了昨天戴维的观点，特别是关于承担责任的部分。两人约定稍后通话，杰基回家后会打电话给戴维。,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,44,25,19,1.76,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,14,杰基承认昨天大卫说得对，特别是关于承担责任的事；两人约定稍后详谈，杰凯表示回家后会给大卫打电话。,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,44,25,19,1.76,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,15,皮特问阿德尔是否清洁了仓鼠笼。阿德尔回答没有，并询问是不是轮到她了。皮特说是在学校后，没有借口。阿德尔无奈地同意了。,阿黛尔放学后得打扫仓鼠笼。,52,12,40,4.333333333333333,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,15,皮特让阿黛尔打扫仓鼠笼，阿黛尔承认是她的回合，并最终同意了。,阿黛尔放学后得打扫仓鼠笼。,27,12,15,2.25,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,15,皮特问阿黛尔是否清理了仓鼠笼，她否认并询问是否是她的轮值。皮特确认是她的任务，强调放学后没有借口可以推脱，阿黛尔只好答应。,阿黛尔放学后得打扫仓鼠笼。,56,12,44,4.666666666666667,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,16,兰道夫问玛雅还在药店吗，并请求她买4到5包耳塞。玛雅回答会买5包。兰道夫感谢她。,玛雅会在药房为伦道夫买5包耳塞。,36,15,21,2.4,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,16,兰道询问玛雅是否还在药店，并让她帮忙买四到五包耳塞。玛雅答应帮他买了五包。,玛雅会在药房为伦道夫买5包耳塞。,34,15,19,2.2666666666666666,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,16,兰道夫问梅雅是否还在药店，并请她帮忙买四到五盒耳塞。梅雅答应会给他买五盒，兰道夫表示感谢。,玛雅会在药房为伦道夫买5包耳塞。,41,15,26,2.7333333333333334,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,17,法蒂玛告诉林肯，她和杰森谈过，杰森对某个地方不太满意。林肯认为那地方没什么问题，但关心的是阿莱恩的情况。法蒂玛认为阿莱恩可能患有抑郁症，但她拒绝就医。林肯认为这不是法蒂玛的责任，并建议她为可能的分手做好准备。法蒂玛觉得阿莱恩只是有点困扰，因为她经历了很多。林肯直言不讳地说每个人都有问题，关键是自己是否在解决它们。法蒂玛感到伤心，但意识到自己的成长环境比阿莱恩好得多，决定感激当下。林肯鼓励她不要过多担忧他人，并赞美她的美丽。,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,195,36,159,5.416666666666667,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,17,林肯和法蒂玛讨论了关于阿琳的困境。法蒂玛提到詹森对阿琳的状况不太满意，并担心她可能患有抑郁症，但阿琳不愿就医。林肯对此持冷漠态度，认为这是每个人都会有的问题，并暗示这不是法蒂玛该操心的事情。两人争论了谁应该为朋友的问题负责，最终林肯指责法蒂玛过于关注他人，而法蒂玛则感到被批评和伤心。最后，林肯劝她专注于自己，不再过度担忧别人。,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,151,36,115,4.194444444444445,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,17,林克和法蒂玛讨论朋友艾琳的困境：她可能患有抑郁症且拒绝就医，导致生活陷入混乱。两人因是否应介入而争执，林克认为这是艾琳自己的问题并指责其童年幸福无需担忧他人，法蒂玛则坚持作为朋友必须帮助她们解决矛盾。,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,94,36,58,2.611111111111111,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,18,杰夫和利亚因为刚从徒步旅行回来，都感到很累，所以没有兴趣去村庄派对。米科则表示想去，因为可能有帅气的男孩。吉姆开玩笑说，村里的男孩可能不讲英语，更愚蠢。米科同意了。利亚仍然不感兴趣，而杰夫虽然不热情，但也同意一起去。米科问谁要一起开车，以便他可以喝酒，杰夫表示无所谓。,米科和杰夫要去参加村里的聚会，杰夫开车。,119,18,101,6.611111111111111,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,18,关于是否去村里派对的讨论，莉亚因爬山太累不想去。米科对此很感兴趣，并开玩笑说那里可能有“帅哥”，引来吉姆和米科之间关于“淳朴”和“不会说英语”的调侃。最终，尽管莉亚不感兴趣，但米科和杰夫决定一起去派对，并且计划由米科开车。,米科和杰夫要去参加村里的聚会，杰夫开车。,96,18,78,5.333333333333333,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,18,Lia 因徒步太累不想参加乡村派对，而 Mico 想去寻找“帅哥”，Jim 则调侃那些不会说英语的土著男孩。尽管 Lia 不感兴趣，Jeff 和 Mico 决定前往，并提议开车以便喝酒，Jeff 虽兴致不高但也同意同行。,米科和杰夫要去参加村里的聚会，杰夫开车。,73,18,55,4.055555555555555,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,19,哈利急切地要求辛迪给埃拉打电话，说有紧急事情要讨论。辛迪抱怨说，他们总是让她充当传话筒，但这次之后不会再这样做了。她已经完成任务，哈利现在可以给埃拉打电话了。,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,72,26,46,2.769230769230769,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,19,哈里让辛迪给艾拉打电话，告知她有急事需要谈，并让她接电话。辛迪一开始不耐烦和抱怨，但最终还是照办了。,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,45,26,19,1.7307692307692308,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,19,哈利请辛迪帮忙紧急联系艾拉通话，辛迪抱怨他总把自己当传声筒后答应转达并告知任务完成。,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,40,26,14,1.5384615384615385,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,20,肯对格雷格说：“你这个卖淫的，给我退钱。” 格雷格怀疑是账号被黑客攻击，但肯解释说他是开玩笑。格雷格也回击了同样的侮辱。,肯恩正试图捉弄格雷格。,51,10,41,5.1,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,20,肯指责格欠钱，但随后承认自己是开玩笑，两人互相骂了一句。,肯恩正试图捉弄格雷格。,25,10,15,2.5,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,20,肯向格雷格索要被骗走的钱，并开玩笑说是自己恶作剧；格雷格回应说既然对方是恶作剧者，那自己也回敬一句“去你的”。,肯恩正试图捉弄格雷格。,49,10,39,4.9,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,21,"阿德里安：你能接电话吗？
西蒙：不方便，有什么重要的事吗？
阿德里安：不是很重要。
西蒙：我五点左右可以空出时间。
阿德里安：那我等你。",西蒙五分钟后会和阿德里安谈一谈。,53,15,38,3.533333333333333,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,21,亚德里安询问西蒙是否方便通话，但双方都表示没什么重要的事情。西蒙说下午五点有空，两人约定届时再联系。,西蒙五分钟后会和阿德里安谈一谈。,46,15,31,3.066666666666667,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,21,艾德里安询问西蒙能否说话，得知对方不太方便后便表示没什么重要的事。随后两人约定在五点见面交谈。,西蒙五分钟后会和阿德里安谈一谈。,44,15,29,2.933333333333333,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,22,加布表示现在可以随意发消息，并询问何时能见面喝酒。凯特很忙，不确定何时有空。加布希望在现实中见到她，但凯特拒绝了，称自己不是这样的人。加布试图解释他们的交流方式不同，但凯特认为这是个错误。加布确认凯特是否离线，但凯特没有回应。,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,102,35,67,2.914285714285714,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,22,甲和乙在聊天后，甲提议见面喝酒。乙表示目前很忙不确定时间，并拒绝了与网上认识的陌生人见面。当甲继续说服时，乙态度变得疏远，最后让甲感到困惑和不安。,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,66,35,31,1.8857142857142857,direct_all_models_100samples_seed42_results.json,direct
QWEN,qwen3.5:9b,22,加布和凯特在聊天后约定见面，但凯特因担心网络交友风险而拒绝。尽管加布试图解释两人已建立联系并表达想亲近的愿望，凯特仍认为这是错误决定并最终离开，留下加布焦急寻找她的身影。,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,80,35,45,2.2857142857142856,direct_all_models_100samples_seed42_results.json,direct
Aya-Expanse,aya-expanse:8b,23,"阿加莎：我的演讲准备好了！
亚当：太棒了，是什么主题？
阿加莎：经济学。
亚当：听起来有意思吗？
阿加莎：当然，我使用了最新的研究数据。
亚当：看来你很了解这个领域呢！
阿加莎：我对经济学非常感兴趣。",阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,78,35,43,2.2285714285714286,direct_all_models_100samples_seed42_results.json,direct
Gemma,gemma4:e4b,23,阿加莎的经济学报告准备好了，亚当询问后得知是关于经济学的，并对内容表示好奇。阿加莎自信地表示使用了最新研究，两人都认可了她对经济学的热情和专业性。,阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,68,35,33,1.9428571428571428,direct_all_models_100samples_seed42_results.json,direct
