model_name,sample_index,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,10,费恩和查蒂明天2点去象堡，他们会在正门碰头。,扎迪和芬要去一家叫“象牙城”的购物中心。他们将在2点左右在主入口处见面。,22.86,6.06,17.14,72.43
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,11,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,汤姆和本将在下午2点在椭圆形房间见面。他们将进行一场战斗。,38.89,11.76,33.33,76.82
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,12,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,乔丹要去参加他的同事布拉德的葬礼。布拉德患有肝癌。埃利奥特晚上8点会给乔丹打电话。,53.57,29.63,35.71,83.25
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,13,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,弗洛必须在6号前去理发店。,29.41,12.5,17.65,71.7
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,14,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,大卫和杰基昨天对大多数事情都持了正确的态度。杰基回家后会给大卫打电话。,17.14,0.0,17.14,66.52
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,15,阿黛尔放学后得打扫仓鼠笼。,艾黛尔没打扫仓鼠笼。皮特放学后打扫了。,55.56,37.5,33.33,87.28
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,16,玛雅会在药房为伦道夫买5包耳塞。,玛雅会在药房给兰多夫买5包耳塞。,80.0,66.67,80.0,95.28
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,17,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,林肯、法蒂玛和詹森去了一个关于艾琳的聚会。法蒂玛认为艾琳可能患有抑郁症。,47.62,0.0,23.81,72.36
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,18,米科和杰夫要去参加村里的聚会，杰夫开车。,杰夫、莉娅、米科和吉姆要去参加一个乡村派对。,56.0,26.09,40.0,80.43
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,19,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,辛迪和埃拉发生了另一场争执。辛迪现在可以给埃拉打电话。,23.53,6.25,17.65,73.07
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,20,肯恩正试图捉弄格雷格。,肯想让格雷格拿回他的钱。,16.67,0.0,16.67,76.39
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,21,西蒙五分钟后会和阿德里安谈一谈。,"西蒙不会说话,因为他五点钟有空。",14.29,0.0,14.29,63.32
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,22,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,加布和凯特打算在加布家见面喝一杯。,23.53,6.25,23.53,73.4
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,23,阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,"阿加莎的报告已经准备好了,她正在上经济学课。",48.48,12.9,36.36,73.65
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,24,凯恩向香农推荐30秒上火星乐队的新专辑。,香农推荐凯恩听听听《30 Seconds to March》。,33.33,9.09,25.0,70.32
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,25,米兰达昨天打电话给汤姆，很甜蜜地和他讲话。安妮很生她的气，因为她正在和汤姆约会。,"安妮讨厌米兰达,因为她昨天给汤姆打了电话。",43.24,17.14,27.03,79.26
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,26,莉莉和托马斯度过了一个美好的夜晚。托马斯是罗马尼亚人，来自一个非常富有的家庭。,莉莉和一个叫托马斯的罗马尼亚人度过了一个美好的夜晚。,74.29,42.42,51.43,85.74
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,27,杰克预定了三张明天晚上七点的票。他能享受七折优惠。,杰克为明天晚上7点预订了3张工作场地票。,37.04,8.0,29.63,81.34
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,28,彼得最近一直在他们办公室附近的健身房锻炼以改善健康状况。为了更健康，丽莎正在考虑锻炼和更加合理饮食。,丽莎想锻炼一下。彼得有健身俱乐部的会员资格。丽莎建议他多锻炼身体。丽莎建议他多睡觉。,24.0,4.17,20.0,68.18
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,29,杰西卡在市中心的二手商店买了一张桌子、六把椅子、一个花瓶和一堆衣服。这些一共花了70欧元。,杰西卡在市中心的二手店买了一张桌子、六张椅子、一瓶花和一大堆衣服。,62.22,37.21,57.78,90.97
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,30,卢西恩不在家。德西蕾希望卢西恩把她的意大利面放在微波炉里。,德西里想让卢西安把意大利面放在微波炉里。卢西安还没有做饭。,42.42,25.81,36.36,84.3
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,31,艾米丽、凯特和玛塔今天要去中央车站的x酒吧喝一杯。,艾米丽、凯特和玛尔塔今天五点半要去中央车站x酒吧喝一杯。,75.86,51.85,75.86,94.06
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,32,今天玛丽没有去上学，她就待在家里。,"玛丽今天没去上学,所以她呆在家里。",60.0,22.22,50.0,92.2
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,33,克莉丝汀病了，明天不来上学了。安妮会把西拉夫的香囊放在邮箱里。克莉丝汀不想把病传染给她。,"克莉丝汀感冒了,她明天不去上学了。她感冒了。安妮会给克莉丝汀一些热感冒药。",50.98,24.49,43.14,78.94
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,34,沙尔多纳通过手机发送了婚礼邀请，因为她没有时间亲自去送邀请函。,"沙尔多娜要结婚了,但她没有时间亲自送邀请卡。",45.16,20.69,45.16,83.06
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,35,康拉德忘了带钥匙，所以回不了家。瑞贝卡和蒂芙妮回来得晚，他得在咖啡厅等。,康拉德忘了带钥匙。他会在咖啡店等蒂芙妮和丽贝卡。,45.71,30.3,40.0,85.2
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,36,卢德米拉小时候最喜欢的恐龙是三角龙。,卢迪米拉有一只爬行动物。雅科波稍后会告诉她为什么爬行动物。,8.33,0.0,8.33,65.87
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,37,在玛丽亚和妮可的建议下，克莱尔正在订购她的婚纱。,玛丽亚和妮可喜欢克莱尔的裙子。,47.62,21.05,47.62,79.02
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,38,米罗和他的父母说阿尔巴尼亚语。他的家人在20世纪90年代非法出境离开了阿尔巴尼亚。,"布伦达和布兰登昨天在聚会上遇到了米罗。米罗的父亲来自阿尔巴尼亚,在上世纪九十年代初从阿尔巴尼亚移民到美国。米罗的父亲来自海滨阿尔巴尼亚。米罗的父亲来自蒂拉纳。",29.03,0.0,19.35,74.18
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,39,丹、蒂姆、克里斯和马丁8点碰面。丹和马丁这次会放松一下。汤姆来不了，因为他岳父岳母家有个聚会。,丹、蒂姆、克里斯、汤姆和马丁周六要去参加一个聚会。,44.44,27.91,40.0,77.0
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,40,迪玛的笔记本电脑坏了，因为她的猫把咖啡洒在笔记本电脑上。 迪玛很担心，因为她明天必须为trados提供翻译。一个小时后迪玛会来纳达家，借纳达的笔记本电脑。,"迪玛的笔记本电脑坏了,她明天九点要交翻译。她想借给娜达的笔记本电脑。娜达把笔记本电脑给了她的哥哥。迪玛一小时后会来取笔记本电脑。",51.35,25.0,37.84,80.47
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,41,杰瑞40分钟后到家。,杰瑞40分钟后会到珍妮特家。珍妮特的老板有时很烦人。,50.0,22.22,50.0,79.7
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,42,娜塔莉怀了戴夫的孩子。简认为萨莉不应该告诉别人，因为娜塔莉是私下告诉他们的。亨利埃特和格雷格很惊讶，孩子的父亲居然是戴夫而不是迈克。,简和格雷格对娜塔莉的八卦很感兴趣。娜塔莉怀孕了。她的父亲是迈克。,39.29,3.7,32.14,72.43
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,43,丽莎还没回家，黛西想要她晚上11点前回来。,黛西想在晚上11点前回家。丽莎还没回家。,69.57,57.14,34.78,88.73
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,44,辛迪很伤心，但不愿意说出原因。艾莉还没看那个疯传的搞笑视频。,"辛迪很伤心,因为发生了一些事,她不想谈论这件事。",29.41,18.75,29.41,68.75
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,45,本不会和凯瑟琳一起去看望史蒂夫叔叔。他会去看望凯瑟琳和孩子们。,凯瑟琳和本要去拜访史蒂夫叔叔。本不喜欢这种方式。,46.67,21.43,33.33,77.54
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,46,史蒂夫很高兴他装了一台新的洗碗机。,妈妈给史蒂夫安装了一台洗碗机。,50.0,14.29,50.0,82.15
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,47,茱莉亚上周去了考文特花园附近的kohaku咖啡馆，但现在这家店关门了，这让她和亨利大吃一惊。她联系了店主，但还没收到回复。亨利和他的表妹最后去了莉莉家，但那里的气氛不一样。,"亨利想预定咖啡馆,但是咖啡馆的facebook页面不见了。朱莉娅和她的表妹去了ligly's,但那里的房租太贵了。亨利和朱莉娅去了ligly's。",47.31,21.98,30.11,73.39
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,48,卡米拉和汤姆这个周末要去都柏林。,汤姆和卡米拉这周末要去都柏林两天。,82.35,40.0,58.82,93.44
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,49,杰森今天约了牙医，所以他没来。,杰森今天没来。杰森预约了牙医。,55.56,25.0,44.44,86.52
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,50,到目前为止，吉尔做了20或30次，每天3-4次，35或40小时，所以和艾丽一样。,吉尔每天工作40到35个小时。,35.29,0.0,23.53,73.17
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,51,詹姆斯和米娅明天想去看艺术展。詹姆斯想让阿米莉亚和他们一起去，但米娅不确定阿米莉亚去不去。之后詹姆斯和米娅会去他家。,"詹姆斯和艾米莉亚明天要去埃文斯教授的画展。米娅会和他们一起去,因为她不认识艾米莉亚。",44.07,21.05,37.29,82.07
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,52,彩英和亚瑟通知玛丽安娜，史蒂芬研讨会下一次要用的阅读资料周一在印刷店拿不到。丽塔决定明天去看看，如果情况有变，她会让所有人都知道的。,"史蒂芬研讨会的下一节稿子在打印店没有。亚瑟也去了,但稿子没有。丽塔明天早上会问是否有稿子。",42.42,6.25,30.3,71.97
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,53,有人在校园里遭到殴打和抢劫，不得不住院治疗。袭击者戴着面具。官方声明会和新闻报道一起发出。杜鲁门和罗德尼都认为尽管周围有摄像头，但校园安保不达标。,罗德尼、特鲁曼和罗斯对在校园里被殴打和抢劫的人感到震惊。,32.14,14.81,21.43,69.72
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,54,哈维尔最初很想在warsaw ink纹身，但价格太高了。他决定去哥伦比亚做纹身。,"朱迪的女朋友在那里纹身,她花了1000 美元。",29.41,6.25,29.41,64.75
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,55,托马斯住的地方晚上的温度是零下3摄氏度。早晨有霜。佐伊在热带。托马斯星期天在贝尔钦峰附近散步。,佐伊和托马斯在热带天气。他们周日在贝尔琴山上散步。,30.77,5.41,30.77,74.84
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,56,詹姆斯通知说下一届aseees会议将在旧金山举行。克洛伊希望去夏威夷，詹姆斯认为不会去夏威夷举办会议，因为交通费用太高昂了。,下一次asEEEs会议将在旧金山召开。,30.77,21.62,30.77,76.57
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,57,罗伯想开始每天做30分钟的体育运动。格雷格已经做了60分钟。安娜想像罗伯一样开始锻炼。,罗伯、格雷格、安娜和威尔要开始每天锻炼30分钟。,58.82,25.0,35.29,77.89
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,58,沃克和布克计划整晚玩游戏。沃克会把布克想要的xbox游戏机带来。,沃克会带着他的xbox游戏机。,36.36,20.0,36.36,78.98
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,59,马里奥正在卢森堡的机场候机。,马利奥今天在卢森堡的每一个机场都降落了。,33.33,12.5,33.33,81.67
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,60,约翰不确定今天是否有训练，但马特说有。,马特和约翰今天要练习。,33.33,0.0,22.22,75.14
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,61,马丁完成计划后将给亚历克斯买两瓶牛奶。,马丁会给亚历克斯买两瓶牛奶。,70.59,53.33,70.59,90.57
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,62,布莱尔和恰克下班后要去诺娜·丽塔餐厅见婚礼策划人。诺娜·丽塔餐厅供应的意大利面条非常好。,布莱尔和恰克将在诺娜丽塔家见面。布莱尔和恰克将在诺娜丽塔家见面。,20.51,10.81,20.51,72.76
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,63,科尔和路易斯坐在同一个房间里，却在发短信。,路易斯和科尔的室友在同一个房间。,63.16,11.76,31.58,83.43
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,64,切尔西今天下午赢了哈德斯菲尔德的一场比赛。伊瓜因两度得分。达米安很高兴，他希望这将是切尔西的转折点。,"雅各布没有看切尔西的比赛,梅森整个下午都在忙着。达米安和雅各布认为哈德斯菲尔德是个好主意。",34.62,16.0,26.92,71.16
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,65,玛伦半小时后就要去镇上了。她将给丽塔买一件礼物——凯泽的带黄色花纹的丝巾。它的售价为39，巴利和玛伦一人出一半钱。,玛琳半小时后要去城里。巴里在凯撒店。他想给丽塔买个礼物。玛琳想买39美元的。,34.48,3.57,24.14,75.38
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,66,布鲁克要盖尔过来看看昨天发生了什么。,"布鲁克建议吉尔去看望她,因为昨天发生了什么事。",47.62,31.58,47.62,82.72
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,67,凯特、米丽娜和里贾娜的演讲进行得很顺利，三个人来听他们的演讲。,凯特和雷吉娜对他们的报告很满意。,35.71,7.69,28.57,76.46
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,68,杰克今年拿到了第一个totw ，汤姆的团队并不出色。,杰克想买一个托特。,11.11,0.0,11.11,66.2
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,69,凯斯送给外孙乔丹20英镑和一张生日卡，作为他11岁生日的礼物。,乔丹收到了卡斯的生日卡和钱。卡斯特别挑选了托马斯的坦克发动机。乔丹11岁了。卡斯喜欢托马斯。,32.56,4.88,23.26,68.42
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,70,对杰西卡来说，最恐怖的地方是巴勒莫的僧帽猴地下墓穴。,杰西卡和米基去过意大利的帕勒莫。帕勒莫有8千具尸首。杰西卡和奥利都很喜欢这个地方。,21.05,0.0,15.79,67.31
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,71,西蒙和查理钦佩波兰的反移民政策和捍卫自身价值观和利益的方式。,西蒙给查理发了一张关于欧盟政策的视频。,23.08,0.0,23.08,68.71
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,72,艾德、瓦莱丽、里斯、罗、艾妮、杰西卡、马特都在嘲笑没有婚姻的性爱的罪恶。,爱德、瓦莱丽、克里斯、洛尔、杰西卡和马特都认为性爱是罪恶的。,56.41,21.62,51.28,86.28
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,73,迈克在伦敦。,迈克在伦敦。,100.0,100.0,100.0,100.0
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,74,里奇和克莱看了一场非常精彩的足球比赛，一个足球运动员把球铲回自己的脚边，特别刺激。何塞信任那个球员。,里奇、克莱和荷西喜欢他的投篮。,26.32,0.0,15.79,67.24
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,75,亚历克看到美国的达人秀，他发了个链接给亚莉克莎。,"亚历克给亚历克发了一个链接,链接无效。亚历克和亚历克喜欢这个链接。亚历克认为亚历克最优秀的女孩。亚历克认为亚历克最优秀的女孩之一。亚历克认为亚历克最优秀的女孩之一。",18.18,0.0,10.91,69.1
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,76,詹姆斯要去上班，所以他不看比赛。,"詹姆斯不看比赛,他要去上班。",77.78,25.0,44.44,91.4
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,77,在多尔夫的提醒下，齐格勒明天会把护照带来。,齐格勒明天会把护照带来。,63.16,58.82,63.16,87.92
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,78,威廉在做意大利面，奥莉维亚会给威廉买新鲜的西红柿，贝丝会买巧克力。,威廉正在做意大利面。他会给奥利维亚和贝丝买些新鲜的西红柿和巧克力。,55.56,29.41,55.56,88.48
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,79,蒂娜必须学习黛米的方法，即如何从讨厌男人转变成和他们约会。,蒂娜正在寻找帕特里克。蒂娜和黛米正在组织研讨会。,29.63,0.0,22.22,65.15
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,80,埃文会让伊森来的。,埃文和伊森讨论了这次活动。埃文会设法让伊森来。,44.44,25.0,44.44,78.53
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,81,巴特这学期成绩不好，因为他学习不多。他花很多时间玩星际争霸。阿德里安考得好是因为上课专心听讲。,巴特的经济学期末考得不好。阿德里安认为巴特没有学习得好。巴特开始玩《星球大战》游戏。阿德里安建议巴特不要在学校的时候玩游戏。,32.14,7.41,28.57,72.06
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,82,肖恩相信他的灵兽是乌龟，而蒂芙尼可能是黄蜂。,肖恩的灵性动物是一只海龟。,31.58,0.0,31.58,73.53
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,83,凯特正在给她和乔治买苹果。他们得等到下周才能买到橘子。,凯特和乔治明天要去杂货店给学校买些水果。,34.48,7.41,27.59,74.39
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,84,茱莉亚回来后会给罗纳德打电话，他有事要告诉她。,"朱莉娅和罗纳德周末过得很开心。朱莉娅的父母在争吵,朱莉娅不想再和他们一起吃饭了。罗纳德回来后会给朱莉娅打电话。",26.67,9.3,17.78,75.72
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,85,马修感冒了，他要喝些橙汁，然后去睡觉。,"马修得了感冒,需要丽莎的帮助。",38.1,0.0,28.57,72.01
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,86,乔茜觉得艾柯的小说《福柯的钟摆》书呆子气。乔茜很想读意大利的艾柯，但她对自己的语言能力没有把握。斯特凡诺认为艾柯的两部小说很难。乔茜读过萨勒曼拉什迪对《福柯的钟摆》的一个负面评论。,"斯蒂芬诺和乔西在讨论福考特的《小摆子》。斯蒂芬诺喜欢福考特的小摆子。乔西读了萨尔曼·拉希迪的《小摆子》,萨尔曼·拉希迪在80年代评论了小摆子。",22.68,0.0,22.68,71.31
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,87,下雨了，所以瓦尔和坎迪要等半小时才走。,正在下雨。瓦尔和坎迪半小时后见面。,50.0,11.11,50.0,80.52
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,88,托马斯、谢拉和杰里米仍然没有收到赠款。托马斯破产了，每小时都要查看他的银行账户。塞拉提出借钱给他。,"托马斯没有拿到补助金。塞拉没有,杰里米也没有。托马斯的银行账户上没问题。塞拉会借给托马斯一些钱。",43.64,15.09,40.0,77.37
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,89,卡米拉周六有一些差事要办。查尔斯本周末将访问德国市场。他们正在谈论圣诞食品和饮料。,"查尔斯和卡米拉这周末要去拜访伯明翰和曼彻斯特的德国市场。卡米拉喜欢香肠和啤酒。查尔斯和卡米拉去年在圣诞节做了香肠,但没人喝了。卡米拉宿醉了。",29.03,10.0,19.35,73.44
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,90,戴安娜和拉塞尔在给妈妈买礼物。,拉斯塞尔给戴安娜和戴安娜买了一个礼物。,55.56,12.5,44.44,81.33
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,91,安斯利病了，所以她现在不能帮简写论文。,"简想让英斯利帮她写论文。英斯利感冒了,每隔两秒就喷嚏。",29.63,8.0,14.81,70.5
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,92,菲奥娜爱上了他的学生康拉德。,"菲奥娜和康拉德在一起。康拉德是菲奥娜的学生。菲奥娜和康拉德在一起的时间太长了。菲奥娜想和康拉德在一起,但康拉德比她年轻5岁。",22.22,4.65,17.78,74.76
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,93,玛格丽特和埃文斯计划在4日10点和11日11点会面。他们两人都不确定下一次见面的时间，所以他们会在晚些时候定一下约会的日期。,"玛格丽特、伊万斯和玛格丽特将在12月4日和11日10点或11点左右见面。如果玛格丽特不在,他们会在14日10点见面。",52.05,25.35,43.84,77.17
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,94,通过看照片，阿尔奇认为梅兰妮卷发更好看，路易斯不同意。,路易斯给阿奇发了一张梅兰妮的照片。,33.33,9.09,16.67,74.65
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,95,琳达没赶上火车，下一班一小时后就到了。返回阿姆斯特丹的费用是80欧元。,琳达错过了去阿姆斯特丹的火车。,35.71,7.69,28.57,75.94
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,96,莱万多夫斯卡得了麻疹。从17号到19号，所有和她接触过的人都在主楼接种疫苗。,"卢旺多娃得了麻疹住院了,她必须接受疫苗接种。乔安娜的论文导师是卢旺多娃,她从上学期起就没见过她。乔安娜将在18号工作前去接种她。",34.78,2.99,23.19,71.1
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,97,卡尔在等梅格，她找不到钥匙，要迟到了。,"卡尔还在等梅格,梅格的钥匙丢了。",58.33,27.27,58.33,81.37
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,98,玛丽亚厌倦了她的工作。,玛丽亚厌倦了她的工作。,100.0,100.0,100.0,100.0
jjnhuang/mbart-large-50-en-dialogue-to-zh-summary,99,卢克明天下午2点22分要去冲浪。,"卢克今天开始冲浪了。他明天下午2点22分去那里。埃里克认为在潮汐中的时候最好,因为那里有岩石。",37.84,22.86,32.43,78.52
