sample_index,model_name,generated_summary_zh,reference_summary_zh,reference_summary_en,dialogue
10,qwen3.5:9b,"芬恩和扎迪在聊天中约定明天一起去伦敦的象与城堡（Elephant and Castle）街区。那里原本聚集了许多来自拉丁美洲的小商家、餐馆，形成了一个有活力的社区；但如今因资本化开发即将被拆除，两人觉得这是“最后的机会”。尽管他们开玩笑说这个地区的“拉丁美洲美食”来源并不明确，扎迪仍表示很久没吃这类食物了，非常想去尝试。

最终双方敲定：明天下午 2 点在象与城堡购物中心的主入口见面（具体位置留待现场确认）。芬恩会负责导航，若迷路随时联系；两人以轻松幽默的方式结束对话，并互道再见。",费恩和查蒂明天2点去象堡，他们会在正门碰头。,Finn and Zadie are going to Elephant and Castle tomorrow at 2. They will meet at the main entrance.,"Finn: Hey
Zadie: Hi there! What's up?
Finn: All fine. You? 
Zadie: Not bad, thanks 
Finn: Look, I was thinking of going to this neighborhood called Elephant and Castle tomorrow, it's apparently full of Latin American stuff. Fancy joining? 
Zadie: Sure! But what's ""stuff""? 😂
Finn: lol So apparently it's a place were random people from ""Latin America"" (meaning fuck knows which countries) started running small businesses and restaurant, and a nice little community was formed
Zadie: Oh cool 
Finn: Then capitalism came and it's all going to be demolished soon, so it's like the last chance to go
Zadie: What a shame :( Yeah, I haven't had Latin American 😂 food for ages so I'm totally up for it
Finn: Can't wait to taste this cuisine of unspecified Latino origin lol
Zadie: 😂😂😂
Finn: But we can specify time and place if and only if you wish 
Zadie: I might be tempted to lol I'd say early evening, 2-ish?
Finn: Yeah, that's fine by me. So most of the places we want to visit are in this Elephant and Castle shopping centre. Shall I see you at the main entrance, wherever that is 
Zadie: 2 o'clock at unspecified main entrance then? Sounds good to mw
Finn: Yer
Zadie: Cool, see you there! And thanks so much for remembering about me 💜💜💜
Finn: Thanks for saying yes to such an ill-defined plan lmao 
Zadie: Ha ha You know I love those
Finn: See you tomorrow then 
Zadie: Yep Call me if you get lost
Finn: I will I will 🤙 byeeee 
Zadie: Toodles"
11,qwen3.5:9b,汤姆和贝恩已决定在下午两点于椭圆形房间会面。汤姆提醒贝恩带上所有文件，并强调这是一场激烈的较量，要“不留俘虏、全力出击”。贝恩笑着回应说必须赢得这场战斗，而汤姆则自信地表示正义在他们这一边。,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,Tom will meet Ben in the Oval Room at 2pm and tells him to bring the papers. ,"Tom: Ben. We've decided. 2pm in the Oval Room.
Ben: Ok, I'll be there
Tom: Take all your papers, it's going to be a fight! And remember: take no prisoners, shoot to kill!
Ben: hahaha, we have to win this battle.
Tom: We will, the justice is on our side."
12,qwen3.5:9b,埃利奥特表示现在很忙，无法通话，询问能否两小时后回拨。乔丹回复说不太方便，因为要去参加一位同事布拉德的葬礼——他此前曾向埃利奥特提起过，布拉德因肝癌去世。乔丹提议晚上再打电话给埃利奥特，得到同意后还说明了是同事的丧事并表达了慰问。最后两人约定由埃利奥特在晚上 8 点致电乔丹。,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,"Elliot can't talk to Jordan now, he's busy. He'll call him back at 8 pm. Jordan is going to Brad's funeral. He had liver cancer.","Elliot: i can't talk rn, i'm rly busy
Elliot: can i call u back in about 2 hours?
Jordan: Not really, I'm going to a funeral.
Jordan: I'll call you tonight, ok?
Elliot: sure
Elliot: whose funeral is it?
Jordan: My colleague's, Brad.
Jordan: I told you about him, he had a liver cancer.
Elliot: i'm so sorry man, i hope u're ok
Elliot: i'll call u at 8 pm"
13,qwen3.5:9b,"弗洛：天哪，我得等到 6 号才能去沙龙！  
吉娜：什么？为什么？  
弗洛：他们太忙了。我要变灰啦！（开玩笑）  
吉娜：去特斯科买一套补色套装吧！  
弗洛：只能这样做了！",弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,Flo cannot get an appointment at the salon until the 6th. Flo worries she's going to be gray. Flo will have to get a touch-up kit at Tesco.,"Flo: OMG, I can't get into the salon until the 6th!
Gina: What? Why?
Flo: They're just too busy. I'm going to be gray! LOL!
Gina: Get you a touch-up kit at Tesco!
Flo: Gonna have to!"
14,qwen3.5:9b,"杰基：我觉得你昨天说得对。  
大卫：关于什么？我大部分时候都是对的啦 :P  
杰基：是啊，尤其是……（开玩笑地）；比如主动承担责任这些事。  
大卫：哦对了，我想起来了。我们晚点再聊？  
杰基：没问题，我一到家就给你打电话。",根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,"According to Jacky, David did the right thing taking the blame. They will talk when Jack comes back home.","Jacky: I think you were right yesterday. 
David: What about? I'm right about most things :P
Jacky: Yeah, whole you ;)
Jacky: About taking the blame etc. 
David: Okey, I remeber. We'll talk later?
Jacky: With pleasure. I'll call you when I get home."
15,qwen3.5:9b,皮特问阿黛尔是否清理了仓鼠笼，她回答还没做并询问是否是她的轮值。皮特确认是她的责任，强调放学后没有借口可以推脱。阿黛尔最终答应照办。,阿黛尔放学后得打扫仓鼠笼。,Adelle has to clean the hamster cage after school.,"Pete: Did you clean the hamster cage?
Adelle: No. Is it my turn?
Pete: Yes. After school, no excuses.
Adelle: Fine."
16,qwen3.5:9b,"兰道夫：亲爱的，你还在药房吗？  
玛雅：在。  
兰道夫：帮我买些耳塞吧。  
玛雅：要几副？  
兰道夫：4 到 5 包就行。  
玛雅：我给你拿 5 包。  
兰道夫：谢谢宝贝。",玛雅会在药房为伦道夫买5包耳塞。,Maya will buy 5 packs of earplugs for Randolph at the pharmacy.,"Randolph: Honey
Randolph: Are you still in the pharmacy?
Maya: Yes
Randolph: Buy me some earplugs please
Maya: How many pairs?
Randolph: 4 or 5 packs
Maya: I'll get you 5
Randolph: Thanks darling"
17,qwen3.5:9b,林肯和法蒂玛在聊天，讨论朋友艾琳的处境。法蒂玛说她和詹森谈过，詹森对艾琳不太满意；她解释不是地方不好，而是担心艾琳可能患有抑郁症且不愿就医、正陷入困境。林肯则显得比较冷漠，认为这是艾琳自己的问题，甚至暗示如果两人分手也不是法蒂玛的事。法蒂玛强调两人都很在乎彼此，不希望他们因互相指责而关系破裂。她还提到艾琳经历过很多困难，只是难以面对。最后，林肯指出并非所有人都像她那样拥有幸福的童年和关爱父母，劝她少操心他人、多感恩；法蒂玛表示理解并感激他的关心。,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,Fatima is worried about Jenson and Alene. Alene has issues. Lincoln doesn't want Fatima to worry about others too much.,"Lincoln: Heeyyy ;* whats up
Fatima: I talked to Jenson, he’s not too happy ;p
Lincoln: the place sucks??
Fatima: No, the place is ok, I think, we can go there, it’s about Alene
Lincoln: typical, dont worry about it
Fatima: He thinks she may have a depression :[
Lincoln: nothin new, everyone has it, she needs a doctor then
Fatima: But she won’t go ;/
Lincoln: so she’s destroying her life fuck it its not your problem
Fatima: It is, they’re both my friends!
Lincoln: you better think what to do if they break up
Fatima: Ehh yes Ill have a problem ;//
Lincoln: both blaming each other and talking with you about it, perfect
Fatima: Alene is just troubled… She’d been through a lot…
Lincoln: everyone has their problems, the question is are ya doin sth about them
Fatima: She has problems facing it, don’t be surprised :[
Lincoln: then it is her problem
Fatima: You are so cruel at times… o.O
Lincoln: maybe, for me its just a common sense
Fatima: Why can’t everyone be just happy???
Lincoln: youll not understand, you had good childhood, nice parents, you have no idea
Fatima: Probably, true… Well I can be just grateful o.o
Lincoln: do that and stop worrying about others, youre way to bautful for that <3
Fatima: :*:*:*"
18,qwen3.5:9b,"杰夫：我们要去参加村里的派对吗？  
莉亚：徒步回来太累了，不想去。  
米科：我想去，说不定能遇到几个帅哥！  
莉亚：我怀疑……  
吉姆：那种连英语都不会说的“真·村男孩”？  
米科：没错，越笨越好！  
吉姆：哈哈，“蠢货才可爱”，他们就是这么说的。  
米科：确认无误！  
莉亚：这不是我的菜。  
米科：我去定了，谁想一起？  
杰夫：我也去吧。  
米科：要开车吗？  
杰夫：那你就能喝酒了？  
米科：那就太好了（笑）。  
杰夫：不太兴奋，但行吧。  
米科：谢谢！",米科和杰夫要去参加村里的聚会，杰夫开车。,Mico and Jeff will go to the village party. Jeff will drive.,"Jeff: Should we go to the village party?
Lia: I'm too tired after hiking
Mico: I'd like to go, there may be some hot boys!
Lia: I doubt
Jim: like a real village boy?
Jim: who doesn't even speak English?
Mico: yes, the dummer, the better
Jim: haha, stupid fucks good, they say
Mico: I confirm!
Lia: not my cup of tea
Mico: I'll go there, who wants to join?
Jeff: I'll go as well
Mico: wanna drive?
Jeff: so you could drink?
Mico: would be nice, hahah
Jeff: not excited, but ok
Mico: thanks!"
19,qwen3.5:9b,"哈利：嘿，你在吗？  
辛迪：亲爱的，我在呢，怎么了？  
哈利：你能给艾拉打个电话吗？告诉她我有急事要找她，让她接我的电话。  
辛迪：又出什么事了？又是吵架了吗？😯  
哈利：拜托你告诉她说一声！  
辛迪：天啊！你们这些人……我是不是成了你们的传声筒了？  
哈利：求你了！！🙏  
辛迪：好吧，我去说……但这是最后一次。  
哈利：没错，像往常一样:P  
辛迪：真拿你们没办法，恨死你们了😤。  
哈利：谢谢你啦！  
辛迪：好了，你给她打电话吧。",艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,Ela is not taking Harry's phone calls. Cindy calls Ela at Harry's request.,"Harry: heyyyy are you there??
Cindy: Yes dear what is it?
Harry: Can you call Ela and tell her i need to talk urgent please pick my call.
Cindy: what happened now? an other fight :O
Harry: please tell her
Cindy: MAN! you guys... am i some kind of a messenger service here?
Harry: PLEASEEEEEEEEE ?
Cindy: ok doing.... but thats the last time.
Harry: Yes like always:P
Cindy: Hate you seriously man.
Harry: Thank you
Cindy: Done you can call her now."
20,qwen3.5:9b,"肯：去你的，你这皮条客！  
格雷格：什么？  
肯：去你的兄弟，我要回我的钱！  
格雷格：难道你的账户被某个恶作剧者盗取了？  
肯：不，我就是那个搞恶作剧的人，只是想拿你开涮一下。  
格雷格：那我也祝你玩得开心 XD",肯恩正试图捉弄格雷格。,Ken is trying to play a prank on Greg.,"Ken: Fuck you, you pimp
Greg: What?
Ken: Fuck you man, I want my money back
Greg: Was your account hacked by some prankster?
Ken: No, I'm the prankster, just having a laugh at your expense
Greg: Well, fuck you too then XD"
21,qwen3.5:9b,"亚德里安：你能说话吗？  
西蒙：不太行，有什么重要的事吗？  
亚德里安：没什么特别要紧的。  
西蒙：我五点有空。  
亚德里安：那我也到时候找你吧。",西蒙五分钟后会和阿德里安谈一谈。,Simon will talk to Adrian in 5 minutes.,"Adrian: Can you talk?
Simon: Not really, anything important?
Adrian: Not that much.
Simon: I'll be free at 5
Adrian: i'll you then"
22,qwen3.5:9b,"加布：太好了，现在我们可以随便发消息了。  
卡特：:-)  

加布：那我们什么时候见面喝一杯？  
卡特：最近很忙，不太确定时间。  

加布：我很想和你线下见一面。  
卡特：我不会和网上的陌生男人见面。  

加布：为什么不行呢？  
卡特：我不是那种会这么做的姑娘。  

加布：可你现在不就是在和我聊天吗？  
卡特：是的，但情况不一样。  

加布：怎么就不一样了？  
卡特：就是不一样啊。  

加布：不过如果能和你依偎在一起面对面聊该多好……  
卡特：我觉得这是个错误。（随后离开）  

加布：你还在吗？你去哪了？  
加布：凯特？",加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,Gab wants to meet Kat in real life. Kat doesn't like Gab's insisting so she won't to talk to him at all.,"Gab: Ah that's better. Now we can message all we like.
Kat: :-)
Gab: So when can we meet up for a drink?
Kat: Fairly busy at the moment so I'm not sure when.
Gab: I'd love to meet you in real life.
Kat: I don't meet strange men from the internet.
Gab: Why not?
Kat: Not that sort of gal.
Gab: But you're talking to me, aren't you?
Kat: Yes, but that's different.
Gab: How so?
Kat: Just is.
Gab: But it would be so much nicer to do this cuddled up right next to you...
Kat: I think this was a mistake.
Gab: Are you there?
Gab: Where did you go?
Gab: Kat?"
23,qwen3.5:9b,"阿加莎：我的演示文稿已经准备好了！  
亚当：太棒了，是哪个课程？  
阿加莎：经济学。  
亚当：有趣吗？我是说……你的演示内容怎么样？  
阿加莎：当然，我用了最新的研究成果。  
亚当：听起来你很清楚自己在做什么～  
阿加莎：我只是对经济学特别感兴趣而已 :)  
亚当：这点毫无疑问。",阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,Agatha is proud of herself because she has finished her presentation in Economics. She is very interested in Economics.,"Agatha: My presentation is ready as we speak :)
Adam: oh cool, what course?
Agatha: Economics.
Adam: Is it interesting? I mean... your presentation.
Agatha: Definitely, I used recent research.
Adam: Sounds like you know what you're doing :P
Agatha: I'm just really into economics :)
Adam: no doubt about that"
24,qwen3.5:9b,"凯恩：你听过 Thirty Seconds to Mars（三十秒至火星乐队）的新专辑吗？  
香农：没有，好听吗？  
凯恩：你应该去听听看。  
香农：好的，谢谢推荐！  
凯恩：不客气。",凯恩向香农推荐30秒上火星乐队的新专辑。,Kane recommends the new 30 Seconds to Mars album to Shannon.,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob"
25,qwen3.5:9b,"安：我恨那个贱人！  
凯瑟琳：她又怎么了？！！  
诺拉：哪个“贱人”？  
诺拉：抱歉，我没跟上。  

凯瑟琳：是米兰达！！！我们大家都讨厌她。  
安：昨天她给汤姆打电话，对他特别温柔——你懂的……  
凯瑟琳：不可能！她敢这么做吗？她知道你们在约会啊！  
安：我想就是为此她才这么做的。她想把汤姆从我身边抢走。  
诺拉：别开玩笑了！她根本不是他的类型！",米兰达昨天打电话给汤姆，很甜蜜地和他讲话。安妮很生她的气，因为她正在和汤姆约会。,Miranda called Tom yesterday and spoke to him in a sweet way. Anne is angry with her because Anne is dating Tom.,"Anne: I hate that bitch!
Catherine: What did she do again???
Nora: Who's the bitch?
Nora: Sorry I missed something
Catherine: Miranda!!! 
Catherine: We all hate her
Anne: Yesterday she called Tom, was all sweet with him you know how she can be....
Catherine: No way she did it!! How dare she!! She knows you guys are dating.
Anne: I think that's why she did it. She wants to take Tom away from me.
Nora: Oh, come on! She's not his type! "
26,qwen3.5:9b,莉莉和凯特在聊天。莉莉说她和一位男士度过了一个美妙的夜晚，对方名叫托马斯。他来自罗马尼亚，家境非常富裕，目前在伦敦就读于伦敦政治经济学院（LSE）。莉莉原本以为他会显得平庸乏味，但实际体验却让她大失所望——他在身材、激情和财力上都远超预期，甚至让她乐到头痛。凯特为她的经历感到高兴，并认为她在过去几周后确实需要这样一番放松与乐趣。,莉莉和托马斯度过了一个美好的夜晚。托马斯是罗马尼亚人，来自一个非常富有的家庭。,Lily spent an amazing night with Thomas. Thomas is Romanian and comes from a very rich family.,"Lily: I spent an amazing night with this guy
Kate: What's his name?
Lily: Thomas
Kate: Is he English?
Lily: He is Romanian, but from an extremely rich family, it seems
Kate: What does he do in London?
Lily: LSE
Kate: of course, so predictable 
Lily: Hahah, but I expected him to be more banal and boring
Kate: but?
Lily: to be more mediocre...
Kate: in size, in passion or in wallet?
Lily: In everything. I've had so much pleasure that I have a headache
Kate: I'm glad to read that. You deserved some fun after the last weeks.
Lily: haha, I agree!"
27,qwen3.5:9b,鲍勃问梅兰妮是否已为明天的演出预订了票。梅兰妮表示杰克答应会处理，因为他有工作折扣。随后鲍勃呼唤杰克确认情况，杰克回复说已经订好三张明晚 7 点的票，并享受到了 30% 的优惠。,杰克预定了三张明天晚上七点的票。他能享受七折优惠。,Jake reserved 3 tickets for tomorrow 7 pm. He got 30% discount.,"Bob: did you reserve the tickets for tomorrow?
Melanie: Jake promised me he will do that
Melanie: he has some workplace discount on them
Bob: Jake are you here?? Did you reserve the tickets?
Jake: yes I did, 3 tickets for tomorrow, 7 pm
Jake: and we got a 30% discount on them too :)"
