model_name,sample_index,error_label,human_error_label,Review_Notes,reference,prediction,dialogue,rouge1,rouge2,rougeL,bs_f1_raw,informativeness,clarity,plausibility,faithfulness,Length Ratio
aya-expanse:8b,10,H-ROLE,H-ROLE,It reverses who should call whom if Finn gets lost.,费恩和查蒂明天2点去象堡，他们会在正门碰头。,芬恩提议明天去象与城堡（Elephant and Castle）这个社区，那里充满了拉丁美洲风情的小店和餐厅。扎迪对这个计划很感兴趣，因为她很久没有吃过拉丁美洲美食了。他们计划在下午两点在购物中心的主入口见面，探索这个即将被拆迁的社区。扎迪表示会及时联系芬恩，如果迷路了。,"Finn: Hey
 Zadie: Hi there! What's up?
 Finn: All fine. You? 
 Zadie: Not bad, thanks 
 Finn: Look, I was thinking of going to this neighborhood called Elephant and Castle tomorrow, it's apparently full of Latin American stuff. Fancy joining? 
 Zadie: Sure! But what's ""stuff""? 😂
 Finn: lol So apparently it's a place were random people from ""Latin America"" (meaning fuck knows which countries) started running small businesses and restaurant, and a nice little community was formed
 Zadie: Oh cool 
 Finn: Then capitalism came and it's all going to be demolished soon, so it's like the last chance to go
 Zadie: What a shame :( Yeah, I haven't had Latin American 😂 food for ages so I'm totally up for it
 Finn: Can't wait to taste this cuisine of unspecified Latino origin lol
 Zadie: 😂😂😂
 Finn: But we can specify time and place if and only if you wish 
 Zadie: I might be tempted to lol I'd say early evening, 2-ish?
 Finn: Yeah, that's fine by me. So most of the places we want to visit are in this Elephant and Castle shopping centre. Shall I see you at the main entrance, wherever that is 
 Zadie: 2 o'clock at unspecified main entrance then? Sounds good to mw
 Finn: Yer
 Zadie: Cool, see you there! And thanks so much for remembering about me 💜💜💜
 Finn: Thanks for saying yes to such an ill-defined plan lmao 
 Zadie: Ha ha You know I love those
 Finn: See you tomorrow then 
 Zadie: Yep Call me if you get lost
 Finn: I will I will 🤙 byeeee 
 Zadie: Toodles",13.95,2.38,9.3,62.96,2.745375633,3.758751154,3.799010515,2.729775906,6.090909
aya-expanse:8b,11,H-EVT,H-EVT,It presents metaphorical battle language as a literal instruction to fight ruthlessly.,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,汤姆告诉本：2点在椭圆房间见，带上所有文件，这将是一场战斗！记住，无情地战斗，不留活口。本笑着回应，他们一定能赢，正义在他们这一边。,"Tom: Ben. We've decided. 2pm in the Oval Room.
 Ben: Ok, I'll be there
 Tom: Take all your papers, it's going to be a fight! And remember: take no prisoners, shoot to kill!
 Ben: hahaha, we have to win this battle.
 Tom: We will, the justice is on our side.",22.95,0,16.39,63.31,3.168863773,3.815423489,3.861514568,2.713229179,2.062500
aya-expanse:8b,12,H-ROLE,H-ROLE,It partly assigns the planned 8 p.m. call to Jordan instead of Elliot.,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,埃利奥特现在很忙，无法接听电话，提议两小时后再打电话。乔丹正在去参加同事布拉德的葬礼，晚上八点会打电话给埃利奥特。埃利奥特表示了慰问，并承诺在晚上八点打电话。布拉德因肝癌去世，乔丹之前已经提到过这个情况。,"Elliot: i can't talk rn, i'm rly busy
 Elliot: can i call u back in about 2 hours?
 Jordan: Not really, I'm going to a funeral.
 Jordan: I'll call you tonight, ok?
 Elliot: sure
 Elliot: whose funeral is it?
 Jordan: My colleague's, Brad.
 Jordan: I told you about him, he had a liver cancer.
 Elliot: i'm so sorry man, i hope u're ok
 Elliot: i'll call u at 8 pm",49.44,27.59,35.96,78.89,3.798347712,4.184546471,4.231574059,3.068344116,1.924528
aya-expanse:8b,13,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,"Flo：天啊，我要到第六天才能去美发沙龙！
 Gina：什么？为什么？
 Flo：他们太忙了。我快要变灰白头发了！哈哈！
 Gina：那你去超市买个染发套装吧！
 Flo：没办法了！","Flo: OMG, I can't get into the salon until the 6th!
 Gina: What? Why?
 Flo: They're just too busy. I'm going to be gray! LOL!
 Gina: Get you a touch-up kit at Tesco!
 Flo: Gonna have to!",12.99,0,12.99,63.3,2.064600706,3.974166870,4.157060623,2.822903156,1.886364
aya-expanse:8b,14,H-CIRC,H-CIRC,It changes the callback condition from after arriving home to after work.,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,杰克西认为大卫昨天说得对，关于承担责任等问题。大卫回应他记得了，约定稍后再谈，杰克西下班后会打电话给大卫。,"Jacky: I think you were right yesterday. 
 David: What about? I'm right about most things :P
 Jacky: Yeah, whole you ;)
 Jacky: About taking the blame etc. 
 David: Okey, I remeber. We'll talk later?
 Jacky: With pleasure. I'll call you when I get home.",40,0,26.67,71.7,2.657458782,3.380312443,3.531111717,2.511205196,1.892857
aya-expanse:8b,15,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,阿黛尔放学后得打扫仓鼠笼。,皮特问阿德尔是否清洁了仓鼠笼。阿德尔回答没有，并询问是不是轮到她了。皮特说是在学校后，没有借口。阿德尔无奈地同意了。,"Pete: Did you clean the hamster cage?
 Adelle: No. Is it my turn?
 Pete: Yes. After school, no excuses.
 Adelle: Fine.",14.63,5.13,9.76,67.41,3.072322845,3.991536617,3.911820412,2.869698048,4.461538
aya-expanse:8b,16,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,玛雅会在药房为伦道夫买5包耳塞。,兰道夫问玛雅还在药店吗，并请求她买4到5包耳塞。玛雅回答会买5包。兰道夫感谢她。,"Randolph: Honey
 Randolph: Are you still in the pharmacy?
 Maya: Yes
 Randolph: Buy me some earplugs please
 Maya: How many pairs?
 Randolph: 4 or 5 packs
 Maya: I'll get you 5
 Randolph: Thanks darling",36.84,16.67,31.58,75.21,3.621576548,4.021081448,4.002642632,2.872137070,2.500000
aya-expanse:8b,17,H-ROLE,H-ROLE,It mixes up the speaker and target of the comments about the venue and Jenson's unhappiness.,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,法蒂玛告诉林肯，她和杰森谈过，杰森对某个地方不太满意。林肯认为那地方没什么问题，但关心的是阿莱恩的情况。法蒂玛认为阿莱恩可能患有抑郁症，但她拒绝就医。林肯认为这不是法蒂玛的责任，并建议她为可能的分手做好准备。法蒂玛觉得阿莱恩只是有点困扰，因为她经历了很多。林肯直言不讳地说每个人都有问题，关键是自己是否在解决它们。法蒂玛感到伤心，但意识到自己的成长环境比阿莱恩好得多，决定感激当下。林肯鼓励她不要过多担忧他人，并赞美她的美丽。,"Lincoln: Heeyyy ;* whats up
 Fatima: I talked to Jenson, he’s not too happy ;p
 Lincoln: the place sucks??
 Fatima: No, the place is ok, I think, we can go there, it’s about Alene
 Lincoln: typical, dont worry about it
 Fatima: He thinks she may have a depression :[
 Lincoln: nothin new, everyone has it, she needs a doctor then
 Fatima: But she won’t go ;/
 Lincoln: so she’s destroying her life fuck it its not your problem
 Fatima: It is, they’re both my friends!
 Lincoln: you better think what to do if they break up
 Fatima: Ehh yes Ill have a problem ;//
 Lincoln: both blaming each other and talking with you about it, perfect
 Fatima: Alene is just troubled… She’d been through a lot…
 Lincoln: everyone has their problems, the question is are ya doin sth about them
 Fatima: She has problems facing it, don’t be surprised :[
 Lincoln: then it is her problem
 Fatima: You are so cruel at times… o.O
 Lincoln: maybe, for me its just a common sense
 Fatima: Why can’t everyone be just happy???
 Lincoln: youll not understand, you had good childhood, nice parents, you have no idea
 Fatima: Probably, true… Well I can be just grateful o.o
 Lincoln: do that and stop worrying about others, youre way to bautful for that <3
 Fatima: :*:*:*",13.33,2.7,12,67.63,3.434976816,4.009697914,4.033655167,3.397791147,5.461538
aya-expanse:8b,18,H-ROLE,H-ROLE,"It says both Jeff and Lia were tired after hiking, although only Lia was.",米科和杰夫要去参加村里的聚会，杰夫开车。,杰夫和利亚因为刚从徒步旅行回来，都感到很累，所以没有兴趣去村庄派对。米科则表示想去，因为可能有帅气的男孩。吉姆开玩笑说，村里的男孩可能不讲英语，更愚蠢。米科同意了。利亚仍然不感兴趣，而杰夫虽然不热情，但也同意一起去。米科问谁要一起开车，以便他可以喝酒，杰夫表示无所谓。,"Jeff: Should we go to the village party?
 Lia: I'm too tired after hiking
 Mico: I'd like to go, there may be some hot boys!
 Lia: I doubt
 Jim: like a real village boy?
 Jim: who doesn't even speak English?
 Mico: yes, the dummer, the better
 Jim: haha, stupid fucks good, they say
 Mico: I confirm!
 Lia: not my cup of tea
 Mico: I'll go there, who wants to join?
 Jeff: I'll go as well
 Mico: wanna drive?
 Jeff: so you could drink?
 Mico: would be nice, hahah
 Jeff: not excited, but ok
 Mico: thanks!",21.05,4.3,14.74,66.72,3.323001385,4.010381699,4.056748390,3.533636332,6.700000
aya-expanse:8b,19,OMIT,OMIT,"It omits that Ela was not answering Harry's calls, the reason Cindy was asked to contact her.",艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,哈利急切地要求辛迪给埃拉打电话，说有紧急事情要讨论。辛迪抱怨说，他们总是让她充当传话筒，但这次之后不会再这样做了。她已经完成任务，哈利现在可以给埃拉打电话了。,"Harry: heyyyy are you there??
 Cindy: Yes dear what is it?
 Harry: Can you call Ela and tell her i need to talk urgent please pick my call.
 Cindy: what happened now? an other fight :O
 Harry: please tell her
 Cindy: MAN! you guys... am i some kind of a messenger service here?
 Harry: PLEASEEEEEEEEE ?
 Cindy: ok doing.... but thats the last time.
 Harry: Yes like always:P
 Cindy: Hate you seriously man.
 Harry: Thank you
 Cindy: Done you can call her now.",20.59,6.06,17.65,69.22,2.697270393,3.994795322,3.929700613,3.201908112,2.724138
aya-expanse:8b,20,H-ENT,NO-ERROR,It renders the insult 'pimp' as a factual claim that Greg is a sex worker.,肯恩正试图捉弄格雷格。,肯对格雷格说：“你这个卖淫的，给我退钱。” 格雷格怀疑是账号被黑客攻击，但肯解释说他是开玩笑。格雷格也回击了同样的侮辱。,"Ken: Fuck you, you pimp
 Greg: What?
 Ken: Fuck you man, I want my money back
 Greg: Was your account hacked by some prankster?
 Ken: No, I'm the prankster, just having a laugh at your expense
 Greg: Well, fuck you too then XD",5.26,0,5.26,62.29,3.361410141,4.360814095,4.173128128,3.503437042,5.363636
aya-expanse:8b,21,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,西蒙五分钟后会和阿德里安谈一谈。,"阿德里安：你能接电话吗？
 西蒙：不方便，有什么重要的事吗？
 阿德里安：不是很重要。
 西蒙：我五点左右可以空出时间。
 阿德里安：那我等你。","Adrian: Can you talk?
 Simon: Not really, anything important?
 Adrian: Not that much.
 Simon: I'll be free at 5
 Adrian: i'll you then",8.51,0,8.51,60.9,2.561347961,4.582088470,4.210563660,3.206056118,4.000000
aya-expanse:8b,22,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,加布表示现在可以随意发消息，并询问何时能见面喝酒。凯特很忙，不确定何时有空。加布希望在现实中见到她，但凯特拒绝了，称自己不是这样的人。加布试图解释他们的交流方式不同，但凯特认为这是个错误。加布确认凯特是否离线，但凯特没有回应。,"Gab: Ah that's better. Now we can message all we like.
 Kat: :-)
 Gab: So when can we meet up for a drink?
 Kat: Fairly busy at the moment so I'm not sure when.
 Gab: I'd love to meet you in real life.
 Kat: I don't meet strange men from the internet.
 Gab: Why not?
 Kat: Not that sort of gal.
 Gab: But you're talking to me, aren't you?
 Kat: Yes, but that's different.
 Gab: How so?
 Kat: Just is.
 Gab: But it would be so much nicer to do this cuddled up right next to you...
 Kat: I think this was a mistake.
 Gab: Are you there?
 Gab: Where did you go?
 Gab: Kat?",21.28,0,14.89,68.23,3.186951160,4.089714050,4.135810375,3.522799253,2.973684
aya-expanse:8b,23,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,"阿加莎：我的演讲准备好了！
 亚当：太棒了，是什么主题？
 阿加莎：经济学。
 亚当：听起来有意思吗？
 阿加莎：当然，我使用了最新的研究数据。
 亚当：看来你很了解这个领域呢！
 阿加莎：我对经济学非常感兴趣。","Agatha: My presentation is ready as we speak :)
 Adam: oh cool, what course?
 Agatha: Economics.
 Adam: Is it interesting? I mean... your presentation.
 Agatha: Definitely, I used recent research.
 Adam: Sounds like you know what you're doing :P
 Agatha: I'm just really into economics :)
 Adam: no doubt about that",20.78,2.67,20.78,66.69,2.724579334,3.899390221,3.898447752,3.088222504,2.473684
aya-expanse:8b,24,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,凯恩向香农推荐30秒上火星乐队的新专辑。,凯恩问沙农是否听过30秒至火星的新专辑，沙农表示没有。凯恩推荐她听，沙农表示会去听的。,"Kane: have you heard the new 30 seconds to mars album?
 Shannon: no, is it good?
 Kane: you should so check it out
 Shannon: ok thanks for the recommendation
 Kane: no prob",37.84,11.43,32.43,74.83,2.359731913,3.308514357,3.238589764,2.297583580,2.150000
aya-expanse:8b,25,H-ROLE,H-ROLE,It attributes the comment that Miranda is not Tom's type to Catherine instead of Nora.,米兰达昨天打电话给汤姆，很甜蜜地和他讲话。安妮很生她的气，因为她正在和汤姆约会。,安妮讨厌那个“恶女”！凯瑟琳和诺拉都好奇她又做什么了。凯瑟琳指的是在镜达。大家都对她很反感。昨天，镜达打电话给汤姆，表现得非常甜蜜，这让安妮怀疑她想夺走汤姆。凯瑟琳不认为镜达有这个可能，因为她觉得镜达不是汤姆的类型。,"Anne: I hate that bitch!
 Catherine: What did she do again???
 Nora: Who's the bitch?
 Nora: Sorry I missed something
 Catherine: Miranda!!! 
 Catherine: We all hate her
 Anne: Yesterday she called Tom, was all sweet with him you know how she can be....
 Catherine: No way she did it!! How dare she!! She knows you guys are dating.
 Anne: I think that's why she did it. She wants to take Tom away from me.
 Nora: Oh, come on! She's not his type!",34.41,10.99,27.96,71.7,3.500547886,3.868753910,3.892879248,3.156099796,2.700000
aya-expanse:8b,26,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,莉莉和托马斯度过了一个美好的夜晚。托马斯是罗马尼亚人，来自一个非常富有的家庭。,莉莉和凯特聊天，莉莉说她和一位叫托马斯的人度过了一夜，他是一个罗马尼亚富家子，正在伦敦的LSE学习。莉莉惊讶于他并不像预期的那么平淡无奇，相反，他在各个方面都给她带来了极大的享受，让她头痛不已。凯特很高兴听到这个消息，认为莉莉值得拥有一些乐趣，因为最近几周她经历了很多压力。,"Lily: I spent an amazing night with this guy
 Kate: What's his name?
 Lily: Thomas
 Kate: Is he English?
 Lily: He is Romanian, but from an extremely rich family, it seems
 Kate: What does he do in London?
 Lily: LSE
 Kate: of course, so predictable 
 Lily: Hahah, but I expected him to be more banal and boring
 Kate: but?
 Lily: to be more mediocre...
 Kate: in size, in passion or in wallet?
 Lily: In everything. I've had so much pleasure that I have a headache
 Kate: I'm glad to read that. You deserved some fun after the last weeks.
 Lily: haha, I agree!",25,3.92,19.23,68.15,3.530741453,3.919844389,4.038263321,3.435005426,3.512821
aya-expanse:8b,27,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,杰克预定了三张明天晚上七点的票。他能享受七折优惠。,鲍勃问梅兰妮是否预订了明天的票。梅兰妮说杰克承诺会做这件事，而且他有工作场所折扣。鲍勃再次确认杰克是否在场并预订了票。杰克回答已经预订了三张明天晚上七点的票，并且享受了30%的折扣。,"Bob: did you reserve the tickets for tomorrow?
 Melanie: Jake promised me he will do that
 Melanie: he has some workplace discount on them
 Bob: Jake are you here?? Did you reserve the tickets?
 Jake: yes I did, 3 tickets for tomorrow, 7 pm
 Jake: and we got a 30% discount on them too :)",30.56,20,27.78,75.67,3.726945639,4.168754578,4.057558060,2.995385408,3.640000
aya-expanse:8b,28,NO-ERROR,H-ROLE,The summary accurately reflects the dialogue's key facts and relations.,彼得最近一直在他们办公室附近的健身房锻炼以改善健康状况。为了更健康，丽莎正在考虑锻炼和更加合理饮食。,丽莎问彼得最近过得怎么样。彼得说工作很忙。丽莎认为他可能在为健康而努力，而不是减肥。彼得解释他想通过锻炼改善健康状况，并不需要减重。他们讨论了锻炼和饮食对保持健康的重要性，并同意长期坚持健康习惯非常重要。,"Lisa: Hello Peter. What have you been doing off late?
 Peter: Bit busy with work.
 Lisa: Too much of work, huh?
 Peter: Not really, I’ve been working out
 Lisa: Ohh, trying to get in shape?
 Peter: Nah, I don’t have much of weight to lose, just want to improve my health.
 Lisa: That’s a good thought. I was also thinking of working out a bit. What do you do? Do you go to a Gym?
 Peter: Yes, I hold a membership with the one near our office.
 Lisa: Which exercises do you do regularly?
 Peter: I do weights and run on the treadmill.
 Lisa: Besides exercises, I think I need to eat better to help me keep in shape.
 Peter: Another major requirement for good health is sleep. On an average one requires at least 7-8 hours of sleep.
 Lisa: There are a lot of things we can do to stay healthy.
 Peter: Yes. One needs to maintain a regime to stay healthy for a long term.",35.29,12.05,25.88,70.35,2.919915915,3.789343357,3.799023867,2.976663113,2.040000
